CdS 10 s emmision (uv 278 nm)-Em.,,
Wavelength (nm),Intensity (a.u.),
723.9400024,-4.754613876,
724.9199829,-4.321008682,
725.9099731,-3.959848404,
726.9000244,-3.898654938,
727.8800049,-4.163669586,
728.8699951,-4.255322456,
729.8499756,-3.66613102,
730.9799805,-3.200551033,
731.9699707,-3.78677845,
732.9500122,-3.535680771,
733.9400024,-3.801366806,
734.9199829,-3.289809227,
735.9099731,-3.416898727,
736.9000244,-3.208300591,
737.8800049,-2.650771141,
738.8699951,-3.530283928,
739.8499756,-2.873970032,
740.9799805,-2.73687458,
741.9699707,-2.449061394,
742.9500122,-2.76277256,
743.9400024,-2.518738747,
744.9199829,-2.998423576,
745.9099731,-2.849888802,
746.9000244,-2.608206749,
747.8800049,-3.060577393,
748.8699951,-3.262820244,
749.8499756,-3.158187866,
750.9699707,-3.179204941,
751.9400024,-3.110045433,
752.9099731,-3.349638939,
753.8800049,-3.084859848,
754.8599854,-3.22211647,
755.9699707,-3.286125183,
756.9400024,-2.976130486,
757.9099731,-3.077588081,
758.8800049,-3.055461884,
759.8599854,-3.208734512,
760.9799805,-3.722847939,
761.9699707,-3.844355583,
762.9500122,-3.761734009,
763.9400024,-4.320069313,
764.9199829,-3.966495514,
765.9099731,-3.77407074,
766.9000244,-4.390526772,
767.8800049,-4.307219505,
768.8699951,-4.860830307,
769.8499756,-5.074490547,
770.9500122,-5.699263573,
771.9099731,-5.15718174,
772.8699951,-5.541618347,
773.9699707,-5.779185295,
774.9299927,-5.475419998,
775.8900146,-5.765176773,
776.9799805,-6.468646049,
777.9400024,-6.473448753,
778.9000244,-6.81815815,
779.8599854,-6.827800274,
780.9699707,-6.591522217,
781.9400024,-7.078913689,
782.9099731,-7.638783455,
783.8800049,-7.591736794,
784.8599854,-8.112438202,
785.9699707,-7.729637623,
786.9400024,-8.00353241,
787.9099731,-8.394376755,
788.8800049,-8.21116066,
789.8599854,-9.014653206,
790.9500122,-7.984371662,
791.9099731,-8.336502075,
792.8699951,-8.898498535,
793.9699707,-9.503802299,
794.9299927,-9.021989822,
795.8900146,-9.110393524,
796.9799805,-9.166283607,
797.9400024,-9.070419312,
798.9000244,-9.971843719,
799.8599854,-10.05775928,
800.9500122,-9.669849396,

