X: (s),Y: (Hits)
1.9197e-08,0
1.92153e-08,4
1.92336e-08,1
1.92519e-08,0
1.92702e-08,0
1.92885e-08,1
1.93068e-08,0
1.93251e-08,0
1.93434e-08,0
1.93617e-08,1
1.938e-08,1
1.93983e-08,0
1.94166e-08,0
1.94349e-08,0
1.94532e-08,0
1.94715e-08,0
1.94898e-08,0
1.95081e-08,0
1.95264e-08,0
1.95447e-08,0
1.9563e-08,0
1.95813e-08,0
1.95996e-08,0
1.9618e-08,0
1.96363e-08,0
1.96546e-08,0
1.96729e-08,0
1.96912e-08,0
1.97095e-08,0
1.97278e-08,0
1.97461e-08,0
1.97644e-08,0
1.97827e-08,1
1.9801e-08,1
1.98193e-08,1
1.98376e-08,0
1.98559e-08,0
1.98742e-08,1
1.98925e-08,1
1.99108e-08,0
1.99291e-08,1
1.99474e-08,0
1.99657e-08,0
1.9984e-08,0
2.00023e-08,0
2.00206e-08,0
2.00389e-08,1
2.00572e-08,0
2.00755e-08,1
2.00938e-08,1
2.01121e-08,0
2.01304e-08,1
2.01487e-08,0
2.0167e-08,0
2.01853e-08,1
2.02036e-08,0
2.02219e-08,0
2.02402e-08,0
2.02585e-08,0
2.02768e-08,1
2.02951e-08,0
2.03134e-08,0
2.03317e-08,1
2.035e-08,1
2.03683e-08,1
2.03866e-08,1
2.04049e-08,0
2.04232e-08,0
2.04415e-08,0
2.04598e-08,1
2.04781e-08,1
2.04964e-08,0
2.05147e-08,0
2.0533e-08,0
2.05513e-08,0
2.05696e-08,1
2.05879e-08,0
2.06063e-08,0
2.06246e-08,1
2.06429e-08,0
2.06612e-08,0
2.06795e-08,0
2.06978e-08,0
2.07161e-08,0
2.07344e-08,1
2.07527e-08,0
2.0771e-08,1
2.07893e-08,1
2.08076e-08,0
2.08259e-08,0
2.08442e-08,1
2.08625e-08,1
2.08808e-08,0
2.08991e-08,0
2.09174e-08,0
2.09357e-08,0
2.0954e-08,0
2.09723e-08,0
2.09906e-08,0
2.10089e-08,0
2.10272e-08,0
2.10455e-08,0
2.10638e-08,0
2.10821e-08,0
2.11004e-08,0
2.11187e-08,0
2.1137e-08,0
2.11553e-08,1
2.11736e-08,0
2.11919e-08,0
2.12102e-08,0
2.12285e-08,1
2.12468e-08,0
2.12651e-08,0
2.12834e-08,0
2.13017e-08,1
2.132e-08,2
2.13383e-08,0
2.13566e-08,0
2.13749e-08,0
2.13932e-08,1
2.14115e-08,0
2.14298e-08,0
2.14481e-08,0
2.14664e-08,0
2.14847e-08,0
2.1503e-08,0
2.15213e-08,0
2.15396e-08,1
2.15579e-08,1
2.15763e-08,0
2.15946e-08,0
2.16129e-08,1
2.16312e-08,0
2.16495e-08,0
2.16678e-08,1
2.16861e-08,0
2.17044e-08,0
2.17227e-08,0
2.1741e-08,0
2.17593e-08,0
2.17776e-08,0
2.17959e-08,0
2.18142e-08,0
2.18325e-08,0
2.18508e-08,0
2.18691e-08,1
2.18874e-08,1
2.19057e-08,1
2.1924e-08,0
2.19423e-08,1
2.19606e-08,0
2.19789e-08,0
2.19972e-08,0
2.20155e-08,0
2.20338e-08,0
2.20521e-08,0
2.20704e-08,0
2.20887e-08,1
2.2107e-08,0
2.21253e-08,0
2.21436e-08,0
2.21619e-08,0
2.21802e-08,0
2.21985e-08,0
2.22168e-08,0
2.22351e-08,0
2.22534e-08,0
2.22717e-08,0
2.229e-08,1
2.23083e-08,0
2.23266e-08,1
2.23449e-08,0
2.23632e-08,0
2.23815e-08,0
2.23998e-08,0
2.24181e-08,0
2.24364e-08,0
2.24547e-08,0
2.2473e-08,0
2.24913e-08,0
2.25096e-08,0
2.25279e-08,1
2.25463e-08,0
2.25646e-08,0
2.25829e-08,0
2.26012e-08,0
2.26195e-08,0
2.26378e-08,0
