X: (V),Y: (Hits)
0.00790865,0
0.00791414,0
0.00791963,0
0.00792512,0
0.00793061,0
0.0079361,0
0.00794159,0
0.00794708,0
0.00795257,0
0.00795806,0
0.00796355,0
0.00796904,1
0.00797454,0
0.00798003,0
0.00798552,0
0.00799101,0
0.0079965,0
0.00800199,0
0.00800748,0
0.00801297,1
0.00801846,0
0.00802395,0
0.00802944,0
0.00803493,0
0.00804042,0
0.00804591,0
0.0080514,0
0.00805689,0
0.00806238,0
0.00806787,0
0.00807336,1
0.00807885,0
0.00808434,0
0.00808983,0
0.00809532,0
0.00810081,0
0.0081063,0
0.00811179,0
0.00811728,0
0.00812277,1
0.00812826,0
0.00813375,0
0.00813924,0
0.00814473,0
0.00815022,0
0.00815571,0
0.0081612,0
0.00816669,0
0.00817218,0
0.00817767,1
0.00818316,0
0.00818865,0
0.00819414,0
0.00819963,0
0.00820512,0
0.00821062,0
0.00821611,0
0.0082216,0
0.00822709,0
0.00823258,0
0.00823807,0
0.00824356,0
0.00824905,0
0.00825454,0
0.00826003,0
0.00826552,0
0.00827101,0
0.0082765,0
0.00828199,0
0.00828748,0
0.00829297,0
0.00829846,0
0.00830395,0
0.00830944,0
0.00831493,0
0.00832042,0
0.00832591,0
0.0083314,0
0.00833689,0
0.00834238,0
0.00834787,0
0.00835336,0
0.00835885,0
0.00836434,1
0.00836983,0
0.00837532,0
0.00838081,0
0.0083863,0
0.00839179,0
0.00839728,0
0.00840277,0
0.00840826,0
0.00841375,0
0.00841924,0
0.00842473,0
0.00843022,0
0.00843571,0
0.0084412,0
0.00844669,0
0.00845219,0
0.00845768,0
0.00846317,0
0.00846866,0
0.00847415,0
0.00847964,1
0.00848513,0
0.00849062,0
0.00849611,0
0.0085016,0
0.00850709,0
0.00851258,0
0.00851807,0
0.00852356,0
0.00852905,0
0.00853454,0
0.00854003,0
0.00854552,1
0.00855101,0
0.0085565,0
0.00856199,0
0.00856748,0
0.00857297,0
0.00857846,0
0.00858395,0
0.00858944,0
0.00859493,0
0.00860042,0
0.00860591,0
0.0086114,0
0.00861689,0
0.00862238,0
0.00862787,0
0.00863336,0
0.00863885,0
0.00864434,0
0.00864983,0
0.00865532,0
0.00866081,0
0.0086663,0
0.00867179,0
0.00867728,0
0.00868277,0
0.00868827,0
0.00869376,0
0.00869925,0
0.00870474,0
0.00871023,1
0.00871572,0
0.00872121,0
0.0087267,0
0.00873219,0
0.00873768,0
0.00874317,0
0.00874866,1
0.00875415,1
0.00875964,0
0.00876513,0
0.00877062,1
0.00877611,0
0.0087816,0
0.00878709,0
0.00879258,0
0.00879807,0
0.00880356,0
0.00880905,1
0.00881454,0
0.00882003,0
0.00882552,0
0.00883101,0
0.0088365,0
0.00884199,0
0.00884748,0
0.00885297,1
0.00885846,0
