BLANK ODE2 and toluene1 ex284,,BLANK ODE2 and toluene2,,BLANK ODE2 and toluene1 em330,,BLANK ODE2 and toluene1 ex287,,BLANK ODE2 and toluene1 ex300,,BLANK ODE2 and toluene1 em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
427.0700073,-89.41117096,416.9599915,-122.5611572,,,423.8399963,-26.85962486,436.9599915,5.24818325,,,
428,-91.0952301,418.0299988,-122.9996643,,,424.9200134,-27.57330132,438.0299988,4.726918221,,,
429.0700073,-91.26364899,418.9299927,-123.4393311,,,425.8399963,-27.960392,438.9299927,3.838435173,,,
430,-90.44136047,420,-122.5945129,,,426.9200134,-28.28195,440,4.00688076,,,
431.0599976,-91.18543243,421.0700073,-124.2200699,,,427.8399963,-28.40131378,441.0599976,3.699929237,,,
431.9599915,-91.42269897,422,-124.2052383,,,428.9200134,-29.85463715,441.9599915,2.458489418,,,
433.0299988,-91.29685211,423.0700073,-124.6092758,,,429.8399963,-29.22097015,443.0299988,2.489262581,,,
433.9299927,-92.1472168,424,-125.1827393,,,430.8999939,-30.2070446,443.9299927,2.390902519,,,
435,-92.58356476,425.0700073,-124.359787,,,431.9599915,-30.70027924,445,2.613217354,,,
436.0599976,-93.50484467,426,-125.8029022,,,432.8699951,-30.88137627,446.0599976,1.942004204,,,
436.9599915,-93.07045746,427.0700073,-125.3723755,,,433.9299927,-31.16240692,446.9599915,1.440766335,,,
438.0299988,-93.83657074,428,-125.990242,,,434.8399963,-32.05628204,448.0299988,1.874163628,,,
438.9299927,-93.44816589,429.0700073,-126.3393402,,,435.8999939,-31.97446632,448.9299927,1.444743156,,,
440,-93.50209808,430,-127.6080322,,,436.9599915,-32.47225952,450,1.117259026,,,
441.0599976,-94.99525452,431.0599976,-127.7615814,,,437.8699951,-32.62656403,451.0599976,0.6278162003,,,
441.9599915,-94.48508453,431.9599915,-127.7861328,,,438.9299927,-33.78760529,451.9599915,0.7343454361,,,
443.0299988,-94.56500244,433.0299988,-127.8445663,,,439.8399963,-32.99507141,453.0299988,0.5422897339,,,
