CdS 30sec ODE2 Toluene1 ex420,,CdS 30sec ODE2 Toluene1 em420,,CdS 30sec ODE2 Toluene1 ex340,,CdS 30sec ODE2 Toluene1 em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
486.9599915,48.79852295,277.0700073,-30.29846954,407.0700073,302.9067383,257.0299988,-3.864068985
488.0299988,48.67391205,278,-29.36923599,408,304.1403198,257.9599915,-3.967544556
488.9299927,47.71070099,279.0700073,-23.29916382,409.0700073,306.6895447,259.0599976,-3.829437256
490,46.87406158,280,-16.65007019,410,305.2485046,260,-3.488994598
491.0400085,46.29048157,280.9299927,-7.48487854,411.0599976,307.7164001,260.9299927,-4.648477554
491.9400024,46.20020294,282.0299988,2.775444031,411.9599915,307.8019409,262.0299988,-3.873527527
492.980011,45.47476196,282.9599915,14.08417511,413.0299988,308.0419312,262.9599915,-4.547214508
494.019989,45.05465698,284.0599976,25.39139557,413.9299927,307.026886,264.0599976,-3.9190979
495.0700073,44.73484802,285,35.37796783,415,315.6300049,265,-3.885753632
495.9700012,44.14948273,285.9299927,42.37239838,416.0599976,311.2885437,265.9299927,-3.759559631
497.0100098,43.16818237,287.0299988,51.22106171,416.9599915,309.3124084,267.0299988,-4.819351196
498.0499878,42.46247864,287.9599915,59.58935547,418.0299988,311.6916199,267.9599915,-4.945295334
498.9500122,42.5608139,289.0599976,67.93448639,418.9299927,312.6447144,269.0599976,-5.533670425
500,41.4201355,290,75.36962128,420,311.6211853,270,-6.050926208
501.0400085,41.27944183,290.9299927,80.40322113,421.0700073,307.4802246,271.0700073,-7.836164474
501.9400024,40.53405762,292.0299988,90.01668549,422,309.3970337,272,-8.135725021
502.980011,39.55661011,292.9599915,94.65973663,423.0700073,303.2740173,273.0700073,-8.975416183
504.019989,38.17359161,294.0599976,103.1647568,424,302.9458008,274,-9.954319
505.0700073,38.04924774,295,110.7849503,425.0700073,298.2432556,275.0700073,-10.35273361
505.9700012,36.86724854,295.9299927,115.5840683,426,297.1828613,276,-11.65267181
507.0100098,36.08971405,297.0299988,122.3325424,427.0700073,293.3230591,277.0700073,-10.89067268
508.0499878,35.62177277,297.9599915,126.1758957,428,287.3024597,278,-8.394407272
508.9500122,34.80702972,299.0599976,133.7777405,429.0700073,283.5235596,279.0700073,-2.291725159
510,34.49078369,300,137.1692505,430,282.1400452,280,4.86113739
511.0599976,34.14948273,301.0700073,142.9649658,431.0599976,278.276947,280.9299927,12.30775833
511.9599915,33.09443665,302,146.5978394,431.9599915,275.2704773,282.0299988,23.88349915
513.0300293,32.36946106,303.0700073,152.8398743,433.0299988,268.384491,282.9599915,33.62501526
513.9299927,31.81522942,304,156.8310852,433.9299927,266.8464966,284.0599976,45.80252075
515,31.76553917,305.0700073,161.4924622,435,264.0491333,285,57.68573761
516.0599976,30.21599007,306,167.4076843,436.0599976,260.6285095,285.9299927,62.82565308
516.960022,28.70693398,307.0700073,173.065918,436.9599915,253.7657776,287.0299988,73.55760193
518.0300293,28.048563,308,177.46521,438.0299988,252.8841858,287.9599915,84.38400269
