CdS 40sec ODE2 Toluene1 ex340,,CdS 40sec ODE2 Toluene1 em410,,CdS 40sec ODE2 Toluene1 ex336,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
571.0200195,-2.297119141,,,567.0100098,-3.354423523,
572.0499878,-3.527391434,,,568.0499878,-3.446733475,
572.9400024,-3.895265579,,,568.9500122,-5.351648331,
573.9699707,-3.596815109,,,570,-4.246629715,
575,-4.910898209,,,571.0200195,-5.695791245,
576.0200195,-4.093746185,,,572.0499878,-5.455408096,
577.0499878,-4.70202446,,,572.9400024,-4.563169479,
577.9400024,-6.049154282,,,573.9699707,-7.158885956,
578.9699707,-6.041110992,,,575,-7.005876541,
580,-5.859285355,,,576.0200195,-7.214155197,
581.0200195,-6.821292877,,,577.0499878,-8.759656906,
582.0499878,-7.425510406,,,577.9400024,-8.623497009,
582.9400024,-7.905012131,,,578.9699707,-8.679887772,
583.9699707,-8.501678467,,,580,-8.604959488,
585,-8.688280106,,,581.0200195,-9.799339294,
586.0200195,-8.782203674,,,582.0499878,-10.26524925,
587.0499878,-8.374744415,,,582.9400024,-10.06600761,
587.9400024,-9.890975952,,,583.9699707,-10.45365906,
588.9699707,-10.44490814,,,585,-11.10277557,
590,-9.915586472,,,586.0200195,-11.78097153,
591.0200195,-10.25828171,,,587.0499878,-11.99598885,
592.0499878,-10.44333267,,,587.9400024,-11.7243824,
592.9400024,-11.39598274,,,588.9699707,-11.62939453,
593.9699707,-11.21372414,,,590,-12.75251198,
595,-12.23970032,,,591.0200195,-12.83540344,
596.0200195,-12.05627537,,,592.0499878,-14.60721493,
597.0499878,-11.909832,,,592.9400024,-13.90533257,
597.9400024,-12.79739952,,,593.9699707,-14.16982841,
598.9699707,-12.456213,,,595,-14.4618969,
600,-12.61258507,,,596.0200195,-14.43865299,
,,,,597.0499878,-14.93771744,
,,,,597.9400024,-15.11175156,
,,,,598.9699707,-15.31488037,
,,,,600,-15.90178871,

CdS 40sec ODE2 Toluene1 ex340,
CdS 40sec ODE2 Toluene1 ex340
Collection Time: 8/19/2022 12:32:48 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:21:40 PM
Method Modifications:
Zero Mode Changed: 8/19/2022 1:01:28 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 1:01:28 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 1:04:17 PM, Old: 350.00, New: 284.00
Emission Wavelength Changed: 8/19/2022 1:04:17 PM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 8/19/2022 1:04:17 PM, Old: 600.00, New: 550.00
Zero Mode Changed: 8/19/2022 1:04:20 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:04:20 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 1:05:41 PM, Old: 300.00, New: 290.00
Zero Mode Changed: 8/19/2022 1:05:43 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:05:43 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:07:20 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 1:07:20 PM, Old: 284.00, New: 220.00
Emission Wavelength Changed: 8/19/2022 1:07:20 PM, Old: 290.00, New: 330.00
Stop Wavelength Changed: 8/19/2022 1:07:20 PM, Old: 550.00, New: 320.00
Zero Mode Changed: 8/19/2022 1:07:23 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:07:24 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 1:09:00 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 1:09:00 PM, Old: 220.00, New: 287.00
Emission Wavelength Changed: 8/19/2022 1:09:00 PM, Old: 330.00, New: 297.00
Stop Wavelength Changed: 8/19/2022 1:09:00 PM, Old: 320.00, New: 550.00
Zero Mode Changed: 8/19/2022 1:09:02 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:09:03 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 1:10:13 PM, Old: 287.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 1:10:13 PM, Old: 297.00, New: 310.00
Zero Mode Changed: 8/19/2022 1:10:15 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:10:15 PM, Old:Reading, New:ON
Overlayed Graphs Changed: 8/19/2022 1:12:23 PM, Old:OFF, New:ON
Scan mode: Changed: 8/19/2022 1:13:08 PM, Old:Emission, New:Excitation
