CdS 10sec ex260,,CdS 10sec ex300,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:26:24 PM
Method Modifications:
Excitation Wavelength Changed: 8/19/2022 12:29:06 PM, Old: 350.00, New: 245.00
Emission Wavelength Changed: 8/19/2022 12:29:06 PM, Old: 400.00, New: 250.00
Zero Mode Changed: 8/19/2022 12:31:22 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:31:22 PM, Old:Reading, New:ON
Em. Slit Width (nm): Changed: 8/19/2022 12:31:51 PM, Old:5, New:2.5
Zero Mode Changed: 8/19/2022 12:31:51 PM, Old:ON, New:OFF
Zero Mode Changed: 8/19/2022 12:31:54 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:31:54 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:39:47 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:39:47 PM, Old:Reading, New:ON
Em. Slit Width (nm): Changed: 8/19/2022 12:45:48 PM, Old:2.5, New:5
Zero Mode Changed: 8/19/2022 12:45:48 PM, Old:ON, New:OFF
Zero Mode Changed: 8/19/2022 12:45:52 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:45:53 PM, Old:Reading, New:ON
Stop Wavelength Changed: 8/19/2022 12:51:26 PM, Old: 600.00, New: 475.00
Zero Mode Changed: 8/19/2022 12:51:33 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:51:34 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:52:24 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 12:52:24 PM, Old:0.10000, New:0.50000
Scan Control Changed: 8/19/2022 12:54:35 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 12:54:35 PM, Old:0.50000, New:0.10000
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Peaks, New:Valleys
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Valleys, New:Peaks Valleys
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Peaks Valleys, New:Zero Cross
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Zero Cross, New:Peaks
Emission Wavelength Changed: 8/19/2022 12:59:12 PM, Old: 250.00, New: 255.00
Zero Mode Changed: 8/19/2022 12:59:20 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:59:21 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:05:43 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:05:44 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:06:45 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:06:45 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 1:07:34 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 1:07:34 PM, Old:0.10000, New:0.50000
Zero Mode Changed: 8/19/2022 1:07:35 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:07:36 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 1:12:30 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 1:12:30 PM, Old:0.50000, New:0.10000
Zero Mode Changed: 8/19/2022 1:12:47 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:12:47 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 1:16:43 PM, Old: 245.00, New: 270.00
Emission Wavelength Changed: 8/19/2022 1:16:43 PM, Old: 255.00, New: 280.00
Excitation Wavelength Changed: 8/19/2022 1:18:14 PM, Old: 270.00, New: 285.00
Emission Wavelength Changed: 8/19/2022 1:18:14 PM, Old: 280.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 1:18:14 PM, Old: 475.00, New: 500.00
Excitation Wavelength Changed: 8/19/2022 1:19:57 PM, Old: 285.00, New: 300.00
Stop Wavelength Changed: 8/19/2022 1:19:57 PM, Old: 500.00, New: 590.00
Excitation Wavelength Changed: 8/19/2022 1:20:58 PM, Old: 300.00, New: 320.00
Emission Wavelength Changed: 8/19/2022 1:20:58 PM, Old: 310.00, New: 330.00
Excitation Wavelength Changed: 8/19/2022 12:23:00 PM, Old: 320.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:23:00 PM, Old: 330.00, New: 310.00
Excitation Wavelength Changed: 8/19/2022 12:28:05 PM, Old: 300.00, New: 310.00
Emission Wavelength Changed: 8/19/2022 12:28:05 PM, Old: 310.00, New: 320.00
Cursor Peak Style Changed: 8/19/2022 12:29:40 PM, Old:Choice 0, New:Choice 1
Cursor Peak Style Changed: 8/19/2022 12:29:40 PM, Old:Valleys, New:Choice 2
Cursor Peak Style Changed: 8/19/2022 12:29:40 PM, Old:Peaks Valleys, New:Choice 0
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Peaks, New:Valleys
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Valleys, New:Peaks Valleys
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Peaks Valleys, New:Zero Cross
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Zero Cross, New:Peaks
Excitation Wavelength Changed: 8/19/2022 12:37:14 PM, Old: 310.00, New: 260.00
Emission Wavelength Changed: 8/19/2022 12:37:14 PM, Old: 320.00, New: 300.00
Stop Wavelength Changed: 8/19/2022 12:37:14 PM, Old: 590.00, New: 550.00
Excitation Wavelength Changed: 8/19/2022 12:41:44 PM, Old: 260.00, New: 360.00
Emission Wavelength Changed: 8/19/2022 12:41:44 PM, Old: 300.00, New: 380.00
Stop Wavelength Changed: 8/19/2022 12:41:44 PM, Old: 550.00, New: 650.00
Scan mode: Changed: 8/19/2022 12:46:39 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:46:39 PM, Old: 360.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:46:39 PM, Old: 380.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 12:46:39 PM, Old: 650.00, New: 400.00
Excitation Wavelength Changed: 8/19/2022 12:47:38 PM, Old: 240.00, New: 220.00
Emission Wavelength Changed: 8/19/2022 12:47:38 PM, Old: 420.00, New: 365.00
Stop Wavelength Changed: 8/19/2022 12:47:38 PM, Old: 400.00, New: 350.00
Scan mode: Changed: 8/19/2022 12:49:00 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:49:00 PM, Old: 220.00, New: 260.00
Emission Wavelength Changed: 8/19/2022 12:49:00 PM, Old: 365.00, New: 270.00
Stop Wavelength Changed: 8/19/2022 12:49:00 PM, Old: 350.00, New: 500.00
Excitation Wavelength Changed: 8/19/2022 12:49:58 PM, Old: 260.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:49:58 PM, Old: 270.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 12:49:58 PM, Old: 500.00, New: 590.00
End Method Modifications

