CdSe 20sec ex295,,CdSe 20sec em370,,CdSe 20sec ex320,,CdSe 20sec em520,,CdSe 20sec ex380,,CdSe 20sec em390,,CdSe 20sec ex330,,CdSe 20sec em405,,CdSe 20sec ex335,,CdSe 20sec em400,,CdSe 20sec em420,,CdSe 20sec em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
349.0700073,28.09428787,284.0599976,10.33092403,374,71.55155945,314,33.37617493,433.9299927,57.1088562,284.0599976,8.372774124,384,79.67062378,284.0599976,4.740485191,388.9200134,80.32311249,284.0599976,4.775705338,284.0599976,3.101312637,284.0599976,4.271675587
350,29.46487427,285,13.15025234,375.0700073,73.14922333,315.0700073,34.73137665,435,56.96114349,285,10.00974655,385.0700073,83.10626984,285,7.264578819,389.8399963,82.70751953,285,6.449114799,285,4.476563454,285,6.057452679
351.0700073,30.34912682,285.9299927,15.08458614,376,75.17907715,316,34.73540115,436.0599976,57.22361755,285.9299927,12.89058113,386,83.78977203,285.9299927,8.786049843,390.9200134,84.73716736,285.9299927,7.27317524,285.9299927,5.756293297,285.9299927,7.377969265
352,31.27653694,287.0299988,18.34614563,377.0700073,76.28722382,317.0700073,35.68077469,436.9599915,58.87296295,287.0299988,14.50618362,387.0700073,84.49532318,287.0299988,10.13827896,391.8399963,85.13584137,287.0299988,9.76193428,287.0299988,8.005221367,287.0299988,9.172266006
353.0700073,32.10643387,287.9599915,19.89984512,378,75.76320648,318,35.05606461,438.0299988,59.79776001,287.9599915,16.08439255,388,86.29511261,287.9599915,12.22973442,392.9200134,86.00440979,287.9599915,10.98844147,287.9599915,9.157519341,287.9599915,9.201721191
354,31.63817024,289.0599976,23.60448074,379.0700073,78.33856964,319.0700073,37.05471039,438.9299927,59.08503723,289.0599976,19.87836456,389.0700073,86.68402863,289.0599976,13.93069839,393.8399963,85.81690216,289.0599976,12.90638351,289.0599976,10.69867039,289.0599976,12.43368721
355.0700073,32.18014145,290,25.03887939,380,80.46245575,320,37.32277679,440,60.06004333,290,21.83990097,390,89.6040802,290,15.94591331,394.9200134,85.75595856,290,14.90131569,290,13.25261593,290,14.91395187
356,32.55142212,290.9299927,27.24694824,381.0700073,80.86816406,320.9299927,39.35567856,441.0599976,59.91316986,290.9299927,23.35684586,391.0700073,90.09085083,290.9299927,17.84550858,395.8399963,89.8059082,290.9299927,16.72338295,290.9299927,13.41100025,290.9299927,15.64266968
357.0700073,33.05776215,292.0299988,30.09531784,382,81.91440582,322.0299988,37.2250061,441.9599915,61.55442047,292.0299988,27.50724983,392,92.98883057,292.0299988,21.01316261,396.9200134,86.45288086,292.0299988,19.93906593,292.0299988,16.83322144,292.0299988,18.49819946
358,35.16518784,292.9599915,33.1646347,383.0700073,80.77355957,322.9599915,39.01635742,443.0299988,60.18829346,292.9599915,29.71979713,393.0700073,91.94960022,292.9599915,22.88273239,397.8399963,89.01988983,292.9599915,21.47068405,292.9599915,18.06510162,292.9599915,20.5074501
359.0700073,35.27109909,294.0599976,35.69208908,384,83.95774841,324.0599976,39.51190948,443.9299927,61.94525146,294.0599976,33.08882904,394,90.26816559,294.0599976,26.333004,398.9200134,91.35353851,294.0599976,23.91285706,294.0599976,21.03180313,294.0599976,22.22513008
360,35.72935867,295,39.34863281,385.0700073,85.0552063,325,40.13709259,445,62.47912598,295,36.06291962,395.0700073,91.47006989,295,28.7818985,399.8399963,90.5259552,295,27.28604507,295,22.80715942,295,25.22662735
