CdS 40sec ODE2 Toluene1 ex340,,CdS 50sec ODE2 Toluene1 ex335,,CdS 50sec ODE2 Toluene1 em420,,CdS 50sec ODE2 Toluene1 ex337,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex325,,CdS 50sec ODE2 Toluene1 em410,,CdS 50sec ODE2 Toluene1 ex333,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
410,279.7459717,404.9200134,206.3924408,300,118.8350372,406.9200134,209.6799927,414.8399963,199.8291931,394.9200134,201.3394318,300,128.9286804,402.9200134,209.0751953,414.8399963,198.3980103,410,98.77912903,400,122.4867172,
411.0599976,278.7324829,405.8399963,210.0737152,301.0700073,123.8530579,407.8399963,207.5477295,415.8999939,197.8488617,395.8399963,203.1441193,301.0700073,133.4996948,403.8399963,205.5934448,415.8999939,198.2989044,411.0599976,100.5278168,401.0700073,123.7069931,
411.9599915,280.0951538,406.9200134,209.8730774,302,125.0162659,408.9200134,207.4161682,416.9599915,202.855423,396.9200134,203.1345062,302,134.8235474,404.9200134,206.5220642,416.9599915,202.6440582,411.9599915,101.3227234,402,121.98246,
413.0299988,284.3458252,407.8399963,211.1305695,303.0700073,130.2129822,409.8399963,210.1349792,417.8699951,202.4588776,397.8399963,204.751358,303.0700073,138.9494781,405.8399963,210.2854309,417.8699951,201.521286,413.0299988,102.892868,403.0700073,125.8361282,
413.9299927,282.4797668,408.9200134,208.7544403,304,132.8693542,410.8999939,212.2635956,418.9299927,201.7324677,398.9200134,203.1378937,304,143.3381805,406.9200134,210.9228821,418.9299927,202.9464111,413.9299927,104.0309906,404,125.0508041,
415,282.874054,409.8399963,210.3066559,305.0700073,135.4716492,411.9599915,211.0860291,419.8399963,204.3919373,399.8399963,202.8677979,305.0700073,144.0813446,407.8399963,211.0900574,419.8399963,200.1467285,415,104.9150391,405.0700073,127.7640762,
416.0599976,287.3512573,410.8999939,207.2017059,306,140.3435822,412.8699951,209.8147583,420.9200134,201.2806854,400.9200134,204.2850189,306,149.7570801,408.9200134,211.001709,420.9200134,202.1635132,416.0599976,105.4997559,406,125.1790543,
416.9599915,282.5768433,411.9599915,209.2904205,307.0700073,141.7035217,413.9299927,210.2998505,421.8399963,200.6723938,401.8399963,206.0959473,307.0700073,153.822052,409.8399963,206.8454285,421.8399963,200.2975311,416.9599915,105.7305298,407.0700073,126.8074112,
418.0299988,283.2051392,412.8699951,204.4127502,308,144.1641693,414.8399963,209.996994,422.9200134,199.1656647,402.9200134,203.2858734,308,155.9907379,410.8999939,208.271759,422.9200134,200.9959717,418.0299988,109.0946808,408,125.4640121,
418.9299927,282.8768921,413.9299927,205.4052124,309.0700073,146.001297,415.8999939,209.697525,423.8399963,201.9871979,403.8399963,198.8074493,309.0700073,158.0836639,411.9599915,206.8927917,423.8399963,200.1387482,418.9299927,106.442688,409.0700073,128.9703064,
420,285.8444214,414.8399963,207.9121246,310,150.3063202,416.9599915,209.370575,424.9200134,201.3855286,404.9200134,203.6527405,310,163.000061,412.8699951,208.0571899,424.9200134,195.4091034,420,111.4966125,410,128.6173096,
421.0700073,284.9119873,415.8999939,206.6785431,311.0700073,152.1166229,417.8699951,209.8127136,425.8399963,199.2682343,405.8399963,204.80896,311.0700073,165.1609802,413.9299927,205.4462891,425.8399963,198.5381317,421.0700073,107.5418701,411.0599976,126.7093124,
422,281.7722778,416.9599915,207.4126434,312,155.1819458,418.9299927,206.86763,426.9200134,195.1188354,406.9200134,199.4458618,312,166.9040375,414.8399963,203.4099426,426.9200134,195.734436,422,106.8851776,411.9599915,126.5178146,
423.0700073,283.241394,417.8699951,206.5628052,313.0700073,155.0651093,419.8399963,207.5848541,427.8399963,193.2113342,407.8399963,198.4873657,313.0700073,169.1065674,415.8999939,208.1788025,427.8399963,194.4497375,423.0700073,105.1470337,413.0299988,128.7592163,
424,276.1317749,418.9299927,207.4182587,314,158.6493835,420.9200134,205.0852356,428.9200134,195.8920898,408.9200134,200.3826752,314,171.3345337,416.9599915,205.4819641,428.9200134,191.7093811,424,104.4698944,413.9299927,126.8813858,
425.0700073,274.0498962,419.8399963,206.3470917,315.0700073,161.22966,421.8399963,203.9955139,429.8399963,189.1660309,409.8399963,195.2641296,315.0700073,173.3573608,417.8699951,202.9090271,429.8399963,189.3054657,425.0700073,105.9859009,415,126.0155258,
426,271.1695251,420.9200134,204.220047,316,167.5256653,422.9200134,204.2996826,430.8999939,187.484726,410.8999939,198.8686676,316,178.0003967,418.9299927,206.2141113,430.8999939,188.1889343,426,101.5409393,416.0599976,123.3663406,
