CdS 10sec ex300,,BLANK ex300,,CdS 20sec ex300,,CdS 20sec em365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
573.9699707,25.49111557,573.9699707,-6.800507545,573.9699707,6.051280022,,,
575,25.60657501,575,-6.777830601,575,5.789469719,,,
576.0200195,25.38787079,576.0200195,-6.740540028,576.0200195,5.497463226,,,
577.0499878,24.12009621,577.0499878,-6.784132004,577.0499878,4.771428108,,,
577.9400024,23.79262352,577.9400024,-6.763669491,577.9400024,4.903331757,,,
578.9699707,23.33979797,578.9699707,-6.702225685,578.9699707,4.685752869,,,
580,23.74513817,580,-6.717689037,580,5.733678818,,,
581.0200195,23.19384193,,,,,,,
582.0499878,23.06039047,,,,,,,
582.9400024,22.97036171,,,,,,,
583.9699707,21.85173798,,,,,,,
585,22.73593903,,,,,,,
586.0200195,22.99514771,,,,,,,
587.0499878,23.44812965,,,,,,,
587.9400024,23.77968788,,,,,,,
588.9699707,25.89661598,,,,,,,
590,30.25772476,,,,,,,

CdS 10sec ex300,
CdS 10sec ex300
Collection Time: 8/19/2022 12:50:12 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        310.00
Stop (nm)                         590.00
Ex. Wavelength (nm)               300.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:26:24 PM
Method Modifications:
Excitation Wavelength Changed: 8/19/2022 12:29:06 PM, Old: 350.00, New: 245.00
Emission Wavelength Changed: 8/19/2022 12:29:06 PM, Old: 400.00, New: 250.00
Zero Mode Changed: 8/19/2022 12:31:22 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:31:22 PM, Old:Reading, New:ON
