CdS 10sec ODE2 Toluene1 em400,,CdS 10sec ODE2 Toluene1 ex330,,CdS 10sec ODE2 Toluene1 ex310,,CdS 10sec ODE2 Toluene1 ex350,,CdS 10sec ODE2 Toluene1 em417,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
330,224.5695496,450,123.8676147,430,139.5437775,470,111.9158173,330,215.7953949,
331.0700073,228.1073608,451.0599976,121.282135,431.0599976,135.9367828,471.0599976,108.8903961,331.0700073,218.0452271,
332,219.0736389,451.9599915,117.3875122,431.9599915,132.6851654,471.9599915,106.5930481,332,216.7789307,
333.0700073,225.0869751,453.0299988,115.4934082,433.0299988,131.5734406,473.0299988,104.3835144,333.0700073,219.5951843,
334,222.9872437,453.9299927,111.8323669,433.9299927,129.3935852,473.9299927,101.0866547,334,220.8082581,
335.0700073,219.9057312,455,112.9779663,435,125.4509277,475,102.2879181,335.0700073,222.1817322,
336,217.5571442,456.0599976,110.8061066,436.0599976,123.8716736,476.0599976,97.02281189,336,223.7067261,
337.0700073,213.6123047,456.9599915,106.7392426,436.9599915,121.6725311,476.9599915,97.30308533,337.0700073,221.5012512,
338,208.3292236,458.0299988,105.7933044,438.0299988,118.8271484,478.0299988,92.36282349,338,219.4345551,
339.0700073,210.7797241,458.9299927,102.7663574,438.9299927,116.9947357,478.9299927,91.46388245,339.0700073,221.8249817,
340,204.0214233,460,99.63136292,440,115.7042542,480,89.5342865,340,220.6296539,
341.0700073,200.8903503,461.0599976,99.3709259,441.0599976,112.6522675,481.0599976,86.58543396,341.0700073,219.5652618,
342,197.063385,461.9599915,99.19799805,441.9599915,110.598587,481.9599915,86.20082092,342,218.2859192,
343.0700073,191.5771179,463.0299988,96.30497742,443.0299988,108.3692627,483.0299988,86.72131348,343.0700073,219.5602875,
344,191.7602539,463.9299927,93.3449707,443.9299927,108.0609589,483.9299927,80.06625366,344,213.2433167,
345.0700073,187.1597595,465,92.72569275,445,105.1442719,485,81.80786133,345.0700073,209.7849579,
346,182.6405945,466.0599976,89.65901184,446.0599976,102.5796509,486.0599976,77.87153625,346,209.2776947,
347.0700073,177.9122925,466.9599915,87.71859741,446.9599915,102.0558472,486.9599915,76.08738708,347.0700073,205.9523468,
348,168.9414673,468.0299988,86.82705688,448.0299988,100.555191,488.0299988,73.50881958,348,200.476593,
349.0700073,163.3896484,468.9299927,83.62461853,448.9299927,99.39907837,488.9299927,73.07954407,349.0700073,196.1208801,
350,156.6171722,470,79.82077026,450,98.41574097,490,71.94200134,350,193.1620178,
351.0700073,151.7601624,471.0599976,78.13265991,451.0599976,97.01850891,491.0400085,68.91438293,351.0700073,189.9671631,
352,147.1320038,471.9599915,76.60360718,451.9599915,94.75762939,491.9400024,67.39431763,352,185.1617737,
353.0700073,140.5079956,473.0299988,74.48635864,453.0299988,95.75216675,492.980011,65.23609924,353.0700073,179.8801422,
354,135.7401886,473.9299927,72.91273499,453.9299927,89.81817627,494.019989,61.23595047,354,176.1034393,
355.0700073,129.9109192,475,72.08694458,455,90.80204773,495.0700073,60.95650864,355.0700073,172.7671967,
356,127.3582001,476.0599976,67.74604797,456.0599976,90.95127869,495.9700012,61.23794937,356,167.4433899,
357.0700073,120.7873383,476.9599915,69.57055664,456.9599915,87.67741394,497.0100098,58.90372086,357.0700073,164.0779114,
358,113.2919312,478.0299988,65.95925903,458.0299988,87.59362793,498.0499878,59.1150322,358,157.0030212,
359.0700073,106.8666077,478.9299927,66.30895996,458.9299927,87.33276367,498.9500122,56.1690712,359.0700073,151.3601379,
360,101.889801,480,61.22185135,460,84.00653076,500,54.02997971,360,149.0582886,
361.0700073,95.15286255,481.0599976,61.73099136,461.0599976,83.50569153,501.0400085,51.29702377,361.0700073,145.3873138,
362,89.94203186,481.9599915,60.72053909,461.9599915,81.4992981,501.9400024,52.47585678,362,139.8054962,
363.0700073,85.32269287,483.0299988,56.10026169,463.0299988,79.03971863,502.980011,50.03739548,363.0700073,135.3516846,
364,80.92549133,483.9299927,58.27287674,463.9299927,76.93753052,504.019989,49.12417984,364,131.9053345,
365.0700073,73.22479248,485,54.6712532,465,77.44425964,505.0700073,48.01643753,365.0700073,126.911911,
366,68.90055847,486.0599976,52.46578598,466.0599976,75.40106201,505.9700012,46.65547562,366,121.5339966,
367.0700073,61.71678543,486.9599915,50.18986893,466.9599915,75.9808197,507.0100098,46.50741959,367.0700073,116.2231903,
368,56.53815079,488.0299988,49.80678177,468.0299988,72.71507263,508.0499878,44.27526474,368,111.9048157,
369.0700073,51.49472427,488.9299927,48.06137466,468.9299927,71.06277466,508.9500122,42.92686081,369.0700073,108.4573364,
370,47.24780655,490,45.59992599,470,70.70558167,510,41.41584778,370,105.5121765,
371.0700073,41.72638321,491.0400085,46.08856583,471.0599976,69.61109924,511.0599976,39.86715698,371.0700073,100.3885193,
372,39.03068161,491.9400024,42.63818741,471.9599915,66.15879822,511.9599915,37.28775787,372,96.58033752,
373.0700073,32.46819687,492.980011,40.06666946,473.0299988,68.58070374,513.0300293,37.61561966,373.0700073,89.76409912,
374,28.52694321,494.019989,43.08302689,473.9299927,66.2297821,513.9299927,36.85689545,374,83.9026947,
375.0700073,26.06238556,495.0700073,39.95306778,475,62.79520798,515,34.95762253,375.0700073,79.1459198,
376,22.38571167,495.9700012,39.99663162,476.0599976,62.4777565,516.0599976,33.45769119,376,75.16940308,
377.0700073,17.44739914,497.0100098,37.76980209,476.9599915,62.54846573,516.960022,33.12085724,377.0700073,70.61531067,
378,17.42938614,498.0499878,37.10223007,478.0299988,60.2183876,518.0300293,31.75551605,378,67.02734375,
379.0700073,12.98230362,498.9500122,34.127285,478.9299927,59.99241257,518.9299927,30.10076141,379.0700073,63.16727066,
380,9.482692719,500,32.53420639,480,57.2841301,520,29.77516174,380,58.9721489,
381.0700073,6.140216827,501.0400085,30.51653671,481.0599976,55.34210587,521.039978,27.60667801,381.0700073,53.41453934,
382,4.127449036,501.9400024,31.77529526,481.9599915,55.05804825,521.9400024,27.22259521,382,50.49037552,
383.0700073,0.3376541138,502.980011,28.47055435,483.0299988,53.91459274,522.9799805,26.05611038,383.0700073,47.50511551,
384,-2.282718658,504.019989,26.84700394,483.9299927,53.33246994,524.0200195,26.81739044,384,42.85596085,
385.0700073,-4.923768997,505.0700073,27.84285355,485,51.26722336,525.0700073,25.45063782,385.0700073,39.58993149,
386,-6.600349426,505.9700012,25.86450958,486.0599976,50.92746353,525.9699707,23.57833481,386,36.91382217,
387.0700073,-9.013336182,507.0100098,26.49497986,486.9599915,49.06069565,527.0100098,22.4202919,387.0700073,32.81603622,
388,-10.51301575,508.0499878,22.74478149,488.0299988,49.54652023,528.0499878,21.06694412,388,31.29410934,
389.0700073,-13.00748634,508.9500122,21.64381409,488.9299927,46.40868759,528.9500122,20.07153702,389.0700073,26.70042801,
390,-14.10829544,510,21.9095726,490,47.73034286,530,19.02672195,390,23.18491364,
,,511.0599976,19.80448532,491.0400085,45.97992325,531.039978,18.88253403,391.0599976,21.80509567,
,,511.9599915,19.76068878,491.9400024,44.58441544,531.9400024,18.03647232,391.9599915,19.41347885,
,,513.0300293,17.90116501,492.980011,43.94440079,532.9799805,17.50863266,393.0299988,17.15010452,
,,513.9299927,17.30662537,494.019989,42.7314949,534.0200195,16.59005356,393.9299927,14.68771744,
,,515,14.72725677,495.0700073,40.8482399,535.0700073,15.52200317,395,11.43083954,
,,516.0599976,14.52800369,495.9700012,39.42758942,535.9699707,14.73724747,396.0599976,8.724449158,
,,516.960022,13.3140564,497.0100098,38.19802094,537.0100098,13.9873085,396.9599915,6.823154449,
,,518.0300293,12.10297012,498.0499878,37.90945816,538.0499878,14.00969696,398.0299988,3.987995148,
,,518.9299927,12.84406662,498.9500122,37.11923218,538.9500122,13.50273895,398.9299927,2.638237,
,,520,12.2908783,500,36.29606247,540,13.07412338,400,0.3686714172,
,,521.039978,11.40822601,501.0400085,35.47846603,541.0200195,11.02331161,401.0700073,-1.971382141,
,,521.9400024,8.880767822,501.9400024,33.71245575,542.0499878,10.894207,402,-3.686174393,
,,522.9799805,9.367145538,502.980011,33.43104553,542.9400024,10.74707413,403.0700073,-6.170091629,
,,524.0200195,8.028442383,504.019989,33.27257156,543.9699707,9.267637253,404,-6.856616974,
,,525.0700073,7.005138397,505.0700073,32.31895828,545,8.209699631,405.0700073,-8.6463871,
,,525.9699707,6.951263428,505.9700012,29.5139122,546.0200195,8.175617218,406,-10.05399132,
,,527.0100098,5.014305115,507.0100098,30.22710419,547.0499878,6.524765015,407.0700073,-10.79947281,
,,528.0499878,4.310375214,508.0499878,28.90969849,547.9400024,6.601827621,,,
,,528.9500122,3.540882111,508.9500122,27.49359894,548.9699707,6.663814545,,,
,,530,3.192874908,510,28.4120636,550,6.501653671,,,
,,531.039978,1.842220306,511.0599976,25.66767883,551.039978,5.495082855,,,
,,531.9400024,0.7403526306,511.9599915,26.62796021,551.9400024,4.103330612,,,
,,532.9799805,0.3660202026,513.0300293,25.78807831,552.9799805,4.431440353,,,
,,534.0200195,1.668598175,513.9299927,24.23419189,554.0200195,3.536691666,,,
,,535.0700073,-0.08557510376,515,23.25402451,555.0700073,3.152339935,,,
,,535.9699707,-1.703239441,516.0599976,21.95261002,555.9699707,2.39572525,,,
,,537.0100098,-1.430366516,516.960022,21.52794647,557.0100098,2.733098984,,,
,,538.0499878,-2.975570679,518.0300293,20.78048325,558.0499878,0.9804096222,,,
,,538.9500122,-3.987766266,518.9299927,20.43940735,558.9500122,1.136238098,,,
,,540,-2.503101349,520,20.15076065,560,0.7597026825,,,
,,541.0200195,-4.169948578,521.039978,19.27610016,561.039978,-0.5285549164,,,
,,542.0499878,-4.957424164,521.9400024,19.02473831,561.9400024,-0.224647522,,,
,,542.9400024,-4.383495331,522.9799805,17.30442047,562.9799805,-1.205257416,,,
,,543.9699707,-7.163103104,524.0200195,16.5656662,564.0200195,-0.5039100647,,,
,,545,-5.960559845,525.0700073,16.27267456,565.0700073,-1.248872757,,,
,,546.0200195,-7.468040466,525.9699707,14.31939697,565.9699707,-0.5326461792,,,
,,547.0499878,-7.915632248,527.0100098,15.63760376,567.0100098,-2.349981308,,,
,,547.9400024,-8.636619568,528.0499878,14.88192368,568.0499878,-3.444393158,,,
,,548.9699707,-9.164489746,528.9500122,13.72275162,568.9500122,-2.572292328,,,
,,550,-8.47290802,530,11.98622894,570,-3.745773315,,,
,,551.039978,-10.62153053,531.039978,12.70562363,571.0200195,-3.641672134,,,
,,551.9400024,-9.820741653,531.9400024,11.91576385,572.0499878,-3.365875244,,,
,,552.9799805,-12.62716866,532.9799805,11.76501846,572.9400024,-4.304849625,,,
,,554.0200195,-11.1042614,534.0200195,11.45750427,573.9699707,-5.728668213,,,
,,555.0700073,-11.96405983,535.0700073,9.667156219,575,-6.174127579,,,
,,555.9699707,-12.57864571,535.9699707,9.242372513,576.0200195,-5.750200272,,,
,,557.0100098,-13.11493492,537.0100098,8.121282578,577.0499878,-5.437419891,,,
,,558.0499878,-13.56556892,538.0499878,8.000478745,577.9400024,-5.485069275,,,
,,558.9500122,-13.76847076,538.9500122,8.668552399,578.9699707,-6.824914932,,,
,,560,-15.27675438,540,6.286794662,580,-7.430400848,,,
,,561.039978,-13.51673126,541.0200195,7.215702057,581.0200195,-6.498614311,,,
,,561.9400024,-14.14869118,542.0499878,6.625516891,582.0499878,-7.302098274,,,
,,562.9799805,-14.19914246,542.9400024,5.652650833,582.9400024,-7.775993347,,,
,,564.0200195,-16.28777504,543.9699707,6.365036011,583.9699707,-7.358101845,,,
,,565.0700073,-16.46007729,545,5.128780365,585,-7.246850967,,,
,,565.9699707,-16.19071198,546.0200195,4.046977997,586.0200195,-8.461373329,,,
,,567.0100098,-16.48534012,547.0499878,3.475933075,587.0499878,-8.656983376,,,
,,568.0499878,-17.78490829,547.9400024,2.076622009,587.9400024,-8.569348335,,,
,,568.9500122,-16.49114037,548.9699707,2.896331787,588.9699707,-9.284508705,,,
,,570,-18.27515793,550,2.133838654,590,-9.034842491,,,
,,571.0200195,-19.39871407,551.039978,2.837608337,591.0200195,-10.10887909,,,
,,572.0499878,-17.50959206,551.9400024,1.445875168,592.0499878,-9.648439407,,,
,,572.9400024,-19.03493309,552.9799805,0.3479137421,592.9400024,-9.935805321,,,
,,573.9699707,-19.62386703,554.0200195,0.3045806885,593.9699707,-10.61718941,,,
,,575,-19.40797043,555.0700073,-0.4543075562,595,-10.51166916,,,
,,576.0200195,-20.39956665,555.9699707,-0.9146022797,596.0200195,-10.72190475,,,
,,577.0499878,-20.39182091,557.0100098,-0.7093925476,597.0499878,-11.02912617,,,
,,577.9400024,-20.69349289,558.0499878,-1.263711929,597.9400024,-10.99190426,,,
,,578.9699707,-20.85715675,558.9500122,-1.703504562,598.9699707,-10.96618557,,,
,,580,-20.60578537,560,-2.556095123,600,-11.30792618,,,
,,581.0200195,-21.26076698,561.039978,-1.365673065,,,,,
,,582.0499878,-20.87517166,561.9400024,-2.767522812,,,,,
,,582.9400024,-21.7747345,562.9799805,-3.335266113,,,,,
,,583.9699707,-22.04567337,564.0200195,-3.086425781,,,,,
,,585,-22.34738541,565.0700073,-3.800947189,,,,,
,,586.0200195,-22.51733971,565.9699707,-3.830591202,,,,,
,,587.0499878,-22.73882484,567.0100098,-4.561004639,,,,,
,,587.9400024,-22.70307159,568.0499878,-4.453937531,,,,,
,,588.9699707,-22.82140732,568.9500122,-5.236591339,,,,,
,,590,-23.76111221,570,-5.627912521,,,,,
,,591.0200195,-23.25729752,571.0200195,-6.037153244,,,,,
,,592.0499878,-23.78416824,572.0499878,-6.012086868,,,,,
,,592.9400024,-24.52655411,572.9400024,-6.060426712,,,,,
,,593.9699707,-24.65452957,573.9699707,-7.13949585,,,,,
,,595,-24.5013504,575,-7.391160965,,,,,
,,596.0200195,-24.50627136,576.0200195,-7.295912743,,,,,
,,597.0499878,-25.71245575,577.0499878,-7.837121964,,,,,
,,597.9400024,-25.05335045,577.9400024,-8.16324234,,,,,
,,598.9699707,-25.66426849,578.9699707,-7.198570251,,,,,
,,600,-26.16729927,580,-8.551808357,,,,,
,,,,581.0200195,-8.390442848,,,,,
,,,,582.0499878,-9.072755814,,,,,
