CdS sonochem 120min em410,,CdS sonochem 120min ex337,,CdS sonochem 120min em415,,CdS sonochem 120min ex340,,CdS sonochem 120min ex340 slow,,CdS sonochem 120min em420 slow,,CdS sonochem 120min ex295,,CdS sonochem 120min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
303.0700073,128.3240356,409.8399963,187.869278,303.0700073,127.2942581,413.0299988,190.470047,413.0299988,192.1219482,303.0700073,125.2650909,368,134.6363373,303.0700073,145.2726593,
304,131.2553406,410.8999939,191.3072662,304,131.1236572,413.9299927,190.4443054,413.9299927,193.6436462,304,127.7956085,369.0700073,134.0704956,304,140.9756775,
305.0700073,133.1390228,411.9599915,191.1981201,305.0700073,132.8643494,415,189.7012177,415,193.4840393,305.0700073,130.8549652,370,132.7395325,305.0700073,136.6285553,
306,135.0474701,412.8699951,193.3951416,306,136.5207062,416.0599976,192.3474426,416.0599976,194.8992615,306,131.8212738,371.0700073,128.6638031,306,133.4449921,
307.0700073,137.1551971,413.9299927,194.3348541,307.0700073,137.700882,416.9599915,190.8737793,416.9599915,195.5458221,307.0700073,135.950119,372,128.6185303,307.0700073,127.4721298,
308,139.6042023,414.8399963,192.101593,308,139.0505066,418.0299988,193.9890289,418.0299988,196.2988586,308,137.5952606,373.0700073,128.2419128,308,123.401207,
309.0700073,143.7103424,415.8999939,191.1705933,309.0700073,143.8300476,418.9299927,194.293396,418.9299927,195.0443573,309.0700073,139.6811371,374,124.7304382,309.0700073,119.1322861,
310,144.9677277,416.9599915,193.228363,310,145.5024872,420,194.7588348,420,196.0528564,310,142.2155914,375.0700073,126.4023438,310,116.0207062,
311.0700073,149.9746094,417.8699951,191.6805725,311.0700073,149.4977875,421.0700073,193.7496033,421.0700073,196.3669128,311.0700073,144.5031281,376,124.4234161,311.0700073,112.2667694,
312,147.1367493,418.9299927,189.4399261,312,147.8981628,422,194.3590698,422,196.2130585,312,145.2887573,377.0700073,120.7897491,312,110.0007858,
313.0700073,150.4445496,419.8399963,190.9964905,313.0700073,153.6486816,423.0700073,194.0986633,423.0700073,194.6459045,313.0700073,147.6769409,378,121.0447998,313.0700073,104.4725723,
314,153.6894226,420.9200134,191.7408142,314,154.2393646,424,192.8926544,424,192.7584229,314,149.4334106,379.0700073,121.1369324,314,105.0402451,
315.0700073,157.8277435,421.8399963,192.0547943,315.0700073,157.6428986,425.0700073,193.0591431,425.0700073,194.2431946,315.0700073,151.9442749,380,118.8916779,315.0700073,99.25950623,
316,158.6053772,422.9200134,189.1136627,316,162.5260925,426,191.8568878,426,191.2817078,316,153.6473236,381.0700073,115.6547546,316,95.72541046,
