CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
420,127.4720306,404.9200134,148.3453674,390,138.4242554,290,12.63873863,310,63.01653671,444.8399963,98.33883667,
421.0700073,127.4713745,405.8399963,150.0680389,391.0700073,140.4988556,290.9299927,14.70174599,311.0700073,64.30475616,445.8999939,98.77412415,
422,133.1159973,406.9200134,149.553833,392,140.9447021,292.0299988,16.65369797,312,66.12918091,446.9599915,100.501503,
423.0700073,132.7080841,407.8399963,151.6661987,393.0700073,145.3493805,292.9599915,17.76887131,313.0700073,67.13595581,447.8699951,100.7802658,
424,133.2204285,408.9200134,153.5932159,394,141.9977112,294.0599976,21.56632614,314,70.5346756,448.9299927,101.2276154,
425.0700073,133.9570465,409.8399963,155.6533051,395.0700073,146.3343353,295,24.28229141,315.0700073,72.72696686,449.8399963,102.0660248,
426,134.8191986,410.8999939,155.2341614,396,150.7783051,295.9299927,26.06084061,316,74.99798584,450.8999939,103.2352829,
427.0700073,136.7921906,411.9599915,159.3648682,397.0700073,151.0447235,297.0299988,28.94294739,317.0700073,76.78057098,451.9599915,104.51371,
428,136.6614838,412.8699951,158.3205261,398,150.2420654,297.9599915,30.14799881,318,79.18418884,452.8699951,104.4786758,
429.0700073,137.5505676,413.9299927,161.2039948,399.0700073,150.2837067,299.0599976,33.6605835,319.0700073,80.28469086,453.9299927,106.9929428,
430,138.451355,414.8399963,164.699707,400,150.0256042,300,35.8287735,320,82.34387207,454.8399963,105.1045151,
431.0599976,136.3501434,415.8999939,159.2183838,401.0700073,148.467926,301.0700073,38.84010315,320.9299927,86.34902191,455.8999939,105.3675919,
431.9599915,137.7160339,416.9599915,160.9315796,402,150.1911621,302,42.93463516,322.0299988,87.98703003,456.9599915,107.2183685,
433.0299988,139.7147064,417.8699951,166.5370331,403.0700073,154.6765594,303.0700073,45.3743248,322.9599915,90.1452179,457.8699951,106.5042953,
433.9299927,139.3828888,418.9299927,162.2319946,404,156.1273346,304,48.36254501,324.0599976,92.90306854,458.9299927,105.0778198,
435,138.7878113,419.8399963,163.4406281,405.0700073,154.878479,305.0700073,52.82688904,325,94.85440063,459.8399963,105.9410706,
436.0599976,138.7894897,420.9200134,163.278183,406,155.7756042,306,54.99028015,325.9299927,97.30799866,460.8999939,104.8707962,
436.9599915,138.130722,421.8399963,162.9245911,407.0700073,153.2885895,307.0700073,59.7369957,327.0299988,99.56746674,461.9599915,104.6575928,
438.0299988,139.4585724,422.9200134,165.7335968,408,155.7280884,308,62.95166397,327.9599915,99.3864212,462.8699951,104.9077225,
438.9299927,137.4169312,423.8399963,161.6554108,409.0700073,154.2128906,309.0700073,66.64117432,329.0599976,104.0168228,463.9299927,103.7737045,
