CdSe 40 sec ex330,,CdSe 40 sec em400,,CdSe 40 sec ex335-380_EX_335.00,,CdSe 40 sec ex335-380_EX_340.00,,CdSe 40 sec ex335-380_EX_345.00,,CdSe 40 sec ex335-380_EX_350.00,,CdSe 40 sec ex335-380_EX_355.00,,CdSe 40 sec ex335-380_EX_360.00,,CdSe 40 sec ex335-380_EX_365.00,,CdSe 40 sec ex335-380_EX_370.00,,CdSe 40 sec ex335-380_EX_375.00,,CdSe 40 sec ex335-380_EX_380.00,,CdSe 40 sec em500,,CdSe 40 sec em420,,CdSe 40 sec em380,,CdSe 40 sec ex340,,CdSe 40 sec ex350,,CdSe 40 sec ex320,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
375.0700073,65.18239594,275.0700073,-0.4100418091,425.0700073,5.112281799,425.0700073,5.365745544,425.0700073,9.533668518,425.0700073,5.779518127,425.0700073,0.3573989868,425.0700073,-3.257270813,425.0700073,-9.405761719,425.0700073,-16.59358215,425.0700073,-23.25771332,425.0700073,-31.55741501,295,10.990201,275.0700073,-2.831311226,275.0700073,0.7493767738,385.0700073,67.14085388,395.0700073,56.96580124,365.0700073,55.11608124,
376,66.82286072,276,-0.7119522095,426,5.656616211,426,5.755821228,426,9.064605713,426,4.880371094,426,2.359313965,426,-3.440109253,426,-10.27850342,426,-15.228302,426,-23.04431915,426,-32.2477951,295.9299927,11.89453411,276,-2.691925049,276,0.5200400352,386,68.18609619,396,58.03311539,366,58.16347504,
377.0700073,70.18449402,277.0700073,-1.188240528,427.0700073,3.670883179,427.0700073,8.326057434,427.0700073,8.171005249,427.0700073,5.385810852,427.0700073,1.013328552,427.0700073,-1.456245422,427.0700073,-8.397232056,427.0700073,-15.19381714,427.0700073,-23.32304382,427.0700073,-29.19712448,297.0299988,12.68590069,277.0700073,-3.028251171,277.0700073,0.02952241898,387.0700073,67.38427734,397.0700073,60.56210709,367.0700073,60.49639893,
378,70.71228027,278,-0.9073119164,428,1.420608521,428,5.109176636,428,6.284103394,428,5.141036987,428,1.439163208,428,-2.633369446,428,-7.780960083,428,-14.76807404,428,-22.9677124,428,-28.92425537,297.9599915,13.01786709,278,-3.395090103,278,0.478477478,388,70.8809967,398,58.3494072,368,59.72034454,
379.0700073,72.29977417,279.0700073,-0.6932182312,429.0700073,2.121406555,429.0700073,3.544830322,429.0700073,6.536224365,429.0700073,6.648521423,429.0700073,1.061584473,429.0700073,-2.13193512,429.0700073,-8.104148865,429.0700073,-13.41299438,429.0700073,-21.13733673,429.0700073,-27.81138992,299.0599976,13.73725414,279.0700073,-2.907267094,279.0700073,1.44203043,389.0700073,72.25112915,399.0700073,62.88199234,369.0700073,62.68367767,
380,74.06302643,280,-0.2548937798,430,-0.9369506836,430,2.345878601,430,5.685401917,430,4.766815186,430,2.130615234,430,-2.130607605,430,-6.00289917,430,-13.45645905,430,-20.96523285,430,-27.79242325,300,14.33947849,280,-3.061048985,280,2.375639439,390,73.95710754,400,63.32211685,370,64.9802475,
381.0700073,76.13616943,280.9299927,1.111124516,431.0599976,1.430763245,431.0599976,1.382736206,431.0599976,7.126319885,431.0599976,3.221153259,431.0599976,2.198051453,431.0599976,-2.428092957,431.0599976,-8.506774902,431.0599976,-13.10087585,431.0599976,-20.43482208,431.0599976,-26.89852905,301.0700073,14.27221775,280.9299927,-1.720264912,280.9299927,3.57227087,391.0700073,74.31858826,401.0700073,65.00891113,371.0700073,67.8645401,
382,78.65272522,282.0299988,3.233290195,431.9599915,-1.981117249,431.9599915,0.5922012329,431.9599915,2.049560547,431.9599915,4.816635132,431.9599915,-1.081283569,431.9599915,-1.962509155,431.9599915,-7.726318359,431.9599915,-13.03042603,431.9599915,-19.88864136,431.9599915,-27.50974274,302,16.20199966,282.0299988,-0.04081344604,282.0299988,6.284890652,392,75.41804504,402,68.09831238,372,67.93260956,
383.0700073,78.27009583,282.9599915,4.991523266,433.0299988,-2.714874268,433.0299988,-0.2125701904,433.0299988,5.626502991,433.0299988,2.527832031,433.0299988,-1.13873291,433.0299988,-2.244033813,433.0299988,-8.101821899,433.0299988,-12.59874725,433.0299988,-18.22106171,433.0299988,-25.71764374,303.0700073,16.41864395,282.9599915,1.398509026,282.9599915,9.180568695,393.0700073,78.84559631,403.0700073,68.61836243,373.0700073,70.76161194,
384,78.92665863,284.0599976,7.799505711,433.9299927,-5.845458984,433.9299927,-0.2428283691,433.9299927,3.92477417,433.9299927,0.4516983032,433.9299927,-1.243339539,433.9299927,-1.356681824,433.9299927,-5.579452515,433.9299927,-13.02236176,433.9299927,-19.79708099,433.9299927,-25.19205475,304,17.10262299,284.0599976,2.903622627,284.0599976,11.76212692,394,80.10559082,404,69.78649902,374,72.26921844,
