CdSe 30 sec ex335,,CdSe 30 sec em410,,CdSe 30 sec ex340,,CdSe 30 sec em500,,CdSe 30 sec ex380,,CdSe 30 sec em420,,CdSe 30 sec ex345,,CdSe 30 sec ex350,,CdSe 30 sec ex355,,CdSe 30 sec ex360,,CdSe 30 sec ex365,,CdSe 30 sec em430,,CdSe 30 sec em440,,CdSe 30 sec em450,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
387.8399963,55.09514618,282.9599915,-0.02381229401,393.0700073,56.20943451,303.0700073,7.810580254,433.0299988,56.30186081,282.9599915,-0.4327101707,397.8399963,57.1912117,403.0700073,54.43146896,407.8399963,55.18066788,413.0299988,57.25033569,417.8699951,57.60216904,282.9599915,-0.9385633469,282.9599915,-1.768837929,282.9599915,-1.904913902,
388.9200134,56.99111938,284.0599976,0.5463004112,394,56.58157349,304,8.628175735,433.9299927,56.52968216,284.0599976,0.7874960899,398.9200134,58.61153412,404,57.23769379,408.9200134,57.14620209,413.9299927,58.35830688,418.9299927,58.8919487,284.0599976,-0.6866974831,284.0599976,-1.592054844,284.0599976,-1.064891815,
389.8399963,55.68897629,285,1.088553429,395.0700073,57.37630463,305.0700073,8.793541908,435,57.11668777,285,1.112872601,399.8399963,58.07566452,405.0700073,58.87925339,409.8399963,58.82852554,415,61.22246552,419.8399963,60.65206528,285,-0.114751339,285,-1.153778076,285,-1.209885597,
390.9200134,59.7803421,285.9299927,1.48809433,396,59.78265381,306,9.929808617,436.0599976,57.00149918,285.9299927,1.437590122,400.9200134,59.80419159,406,59.59870911,410.8999939,59.74488449,416.0599976,61.01586914,420.9200134,60.68684769,285.9299927,0.09581136703,285.9299927,-0.763812542,285.9299927,-0.8744225502,
391.8399963,59.63135147,287.0299988,2.752750397,397.0700073,60.29364777,307.0700073,11.07163715,436.9599915,59.52173996,287.0299988,1.728374958,401.8399963,61.3796463,407.0700073,60.24396515,411.9599915,60.1775322,416.9599915,63.26828766,421.8399963,62.62044907,287.0299988,1.145045757,287.0299988,-0.3789777756,287.0299988,-0.2127308846,
392.9200134,58.69564819,287.9599915,2.942928314,398,61.69628143,308,11.52166653,438.0299988,58.83581161,287.9599915,2.850720882,402.9200134,61.18339539,408,61.5451355,412.8699951,62.50130081,418.0299988,64.4355545,422.9200134,62.30304337,287.9599915,1.668515682,287.9599915,0.4268584251,287.9599915,0.3615961075,
393.8399963,60.30454254,289.0599976,4.268980026,399.0700073,62.22148895,309.0700073,11.58917713,438.9299927,60.22658157,289.0599976,4.379978657,403.8399963,61.70695496,409.0700073,62.40959167,413.9299927,64.96420288,418.9299927,63.57982635,423.8399963,66.30243683,289.0599976,1.880679607,289.0599976,1.184188843,289.0599976,1.083137035,
394.9200134,61.71567535,290,4.445318222,400,61.86749268,310,12.42218685,440,59.27200699,290,4.78230238,404.9200134,63.65335083,410,63.75341797,414.8399963,65.08820343,420,67.39666748,424.9200134,64.5803833,290,2.814873219,290,1.809951782,290,0.9856939316,
395.8399963,62.19768524,290.9299927,5.585183144,401.0700073,64.32781982,311.0700073,12.9786768,441.0599976,59.60429001,290.9299927,5.024878025,405.8399963,64.73638153,411.0599976,64.86608887,415.8999939,67.05480194,421.0700073,68.05615234,425.8399963,66.50642395,290.9299927,3.550694942,290.9299927,2.059046745,290.9299927,2.143392086,
396.9200134,63.47560883,292.0299988,6.829257011,402,64.98933411,312,13.61160374,441.9599915,59.93234634,292.0299988,6.083581448,406.9200134,65.40611267,411.9599915,65.91902924,416.9599915,67.66668701,422,68.84400177,426.9200134,67.10197449,292.0299988,4.359028339,292.0299988,3.100945473,292.0299988,2.983491421,
