CdSe 10sec hi ex300,,CdSe 10sec hi em510301,,CdSe 10sec hi ex400,,CdSe 180sec hi ex400,,CdSe 180sec hi em525,,CdSe 180sec hi ex460,,CdSe 180sec hi em470,,CdSe 180min sonochem em520,,CdSe 180min sonochem ex410,,CdSe 180min sonochem em485,,CdSe 180min sonochem ex390,,CdSe 180min sonochem em560,,CdSe 180min sonochem ex470,,CdSe 30min sonochem ex470,,CdSe 30min sonochem em515,,CdSe 30min sonochem ex400,,CdSe 30min sonochem em470,,CdSe 30min sonochem ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
346,7.455465794,285.9299927,26.82782936,446.0599976,294.2588806,446.0599976,141.2410889,285.9299927,-11.59455013,505.9700012,392.0792236,285.9299927,-4.769674301,285.9299927,-0.09779775143,456.0599976,39.29406738,285.9299927,-0.2383692265,436.0599976,40.30672455,306,2.157558441,516.0599976,15.36772346,516.0599976,140.5881195,306,69.56860352,446.0599976,171.8722839,285.9299927,7.935131073,430.8999939,205.6646729,
347.0700073,8.170303345,287.0299988,30.61252403,446.9599915,302.5204163,446.9599915,145.3281097,287.0299988,-11.51841354,507.0100098,413.8154297,287.0299988,-4.722855568,287.0299988,0.06248211861,456.9599915,40.05522156,287.0299988,0.146150589,436.9599915,42.16590118,307.0700073,2.274508476,516.960022,15.33731461,516.960022,138.0861816,307.0700073,74.12890625,446.9599915,178.4370728,287.0299988,8.067674637,431.9599915,207.927002,
348,8.557796478,287.9599915,32.95672607,448.0299988,310.3686218,448.0299988,152.1615601,287.9599915,-11.53349113,508.0499878,432.0414429,287.9599915,-4.657862663,287.9599915,0.02673792839,458.0299988,42.25426865,287.9599915,0.1115903854,438.0299988,42.71266937,308,3.035292149,518.0300293,14.42855453,518.0300293,138.9028473,308,77.3190918,448.0299988,184.4839783,287.9599915,9.057764053,432.8699951,211.0404358,
349.0700073,8.908276558,289.0599976,36.86347961,448.9299927,318.9404907,448.9299927,155.3240662,289.0599976,-10.93570709,508.9500122,446.6416016,289.0599976,-4.531287193,289.0599976,0.3760008812,458.9299927,42.54872894,289.0599976,0.1143774986,438.9299927,42.10264969,309.0700073,2.984761238,518.9299927,14.95139694,518.9299927,139.3793335,309.0700073,79.84151459,448.9299927,187.5729675,289.0599976,10.95475006,433.9299927,216.7285767,
350,9.498558998,290,38.78663635,450,327.1231995,450,161.0212555,290,-11.25028038,510,467.4217529,290,-4.578370094,290,0.3981840611,460,44.3772049,290,0.101307869,440,44.82906723,310,3.029242516,520,14.44714165,520,138.0944366,310,83.11682892,450,192.6651611,290,11.48060989,434.8399963,220.3351135,
351.0700073,9.975274086,290.9299927,42.42433167,451.0599976,333.2645874,451.0599976,165.3222961,290.9299927,-10.73002243,511.0599976,485.7265625,290.9299927,-4.188508034,290.9299927,0.5255715847,461.0599976,44.57172775,290.9299927,0.4073262215,441.0599976,45.3904686,311.0700073,3.419764519,521.039978,13.9320507,521.039978,137.3778839,311.0700073,88.33901215,451.0599976,195.3959656,290.9299927,13.72373772,435.8999939,224.2826233,
352,10.55139637,292.0299988,48.08292389,451.9599915,341.3127441,451.9599915,170.5466766,292.0299988,-10.53292274,511.9599915,501.8007202,292.0299988,-4.713997841,292.0299988,0.8085463047,461.9599915,46.28491592,292.0299988,0.7344679832,441.9599915,46.32316589,312,3.719256878,521.9400024,14.09100151,521.9400024,135.6857758,312,90.75253296,451.9599915,199.1535034,292.0299988,14.19962883,436.9599915,227.137146,
353.0700073,11.1079073,292.9599915,48.641922,453.0299988,348.9518433,453.0299988,175.7468414,292.9599915,-10.7053175,513.0300293,522.213623,292.9599915,-3.998847246,292.9599915,0.9449555874,463.0299988,47.37770081,292.9599915,1.100226402,443.0299988,47.55547333,313.0700073,3.761867046,522.9799805,12.52263641,522.9799805,133.3141174,313.0700073,93.89775848,453.0299988,205.8456421,292.9599915,16.26281738,437.8699951,228.5175476,
354,11.63920689,294.0599976,53.10895538,453.9299927,354.0158386,453.9299927,180.4054718,294.0599976,-9.504468918,513.9299927,534.3763428,294.0599976,-4.386735439,294.0599976,0.8269889355,463.9299927,48.91520309,294.0599976,1.306363106,443.9299927,49.99188614,314,3.857579231,524.0200195,12.70691681,524.0200195,129.5098724,314,96.2223587,453.9299927,210.4846802,294.0599976,17.95094872,438.9299927,230.4286804,
355.0700073,12.61378384,295,58.48055267,455,362.9484863,455,183.7390594,295,-9.03973484,515,557.0995483,295,-3.972296476,295,0.9319159985,465,49.8932991,295,1.938828945,445,49.69823074,315.0700073,4.323910713,525.0700073,12.35234261,525.0700073,127.9061279,315.0700073,98.96264648,455,212.5334778,295,20.03019905,439.8399963,236.09552,
356,12.80928135,295.9299927,60.99819946,456.0599976,370.6605225,456.0599976,189.6254425,295.9299927,-8.619044304,516.0599976,572.1072998,295.9299927,-3.866030931,295.9299927,1.249809504,466.0599976,50.69025421,295.9299927,2.329570293,446.0599976,50.25785828,316,4.101189613,525.9699707,11.66941071,525.9699707,124.3256836,316,100.7386703,456.0599976,215.894165,295.9299927,21.84400368,440.8999939,235.7704163,
357.0700073,13.53547668,297.0299988,64.27414703,456.9599915,374.0687256,456.9599915,191.9999695,297.0299988,-8.217662811,516.960022,587.5089111,297.0299988,-3.883021593,297.0299988,1.473334789,466.9599915,52.27913666,297.0299988,2.693936825,446.9599915,51.52531815,317.0700073,4.548897266,527.0100098,12.14407921,527.0100098,122.1604004,317.0700073,103.3930206,456.9599915,217.4573364,297.0299988,23.87047386,441.9599915,239.5021973,
358,14.02545643,297.9599915,68.46804047,458.0299988,382.1620483,458.0299988,196.7528534,297.9599915,-7.780172348,518.0300293,600.8782349,297.9599915,-3.435111046,297.9599915,1.511842728,468.0299988,53.07041168,297.9599915,2.293714046,448.0299988,52.58179092,318,4.278965473,528.0499878,11.06302452,528.0499878,119.9091949,318,109.2109146,458.0299988,220.3727417,297.9599915,25.43157768,442.8699951,242.553833,
359.0700073,14.23004055,299.0599976,73.76503754,458.9299927,387.022522,458.9299927,201.0937653,299.0599976,-7.277573586,518.9299927,618.5473022,299.0599976,-3.401228905,299.0599976,2.015479326,468.9299927,53.74396515,299.0599976,2.65059042,448.9299927,53.57303619,319.0700073,4.853905201,528.9500122,11.42422867,528.9500122,118.2763367,319.0700073,113.1571503,458.9299927,223.763855,299.0599976,25.42074776,443.9299927,243.9211731,
360,15.11796093,300,78.05578613,460,392.143158,460,202.7937164,300,-6.767721176,520,626.9517822,300,-2.928416252,300,2.032290459,470,54.12062073,300,2.729441643,450,55.29004669,320,5.023048401,530,10.8420372,530,109.4329376,320,115.0641632,460,226.3671265,300,29.41985893,444.8399963,247.1354675,
361.0700073,16.4134922,301.0700073,80.90333557,461.0599976,400.9834595,461.0599976,206.7530212,301.0700073,-5.804821968,521.039978,638.8186035,301.0700073,-3.027105808,301.0700073,2.411365271,471.0599976,53.63035583,301.0700073,3.662426472,451.0599976,56.0580368,320.9299927,5.440559864,531.039978,10.37981796,531.039978,105.2303619,320.9299927,119.7465668,461.0599976,228.9769897,301.0700073,31.23787498,445.8999939,250.4075623,
362,17.04309082,302,85.31164551,461.9599915,404.0007019,461.9599915,209.3259125,302,-4.894145012,521.9400024,646.4416504,302,-2.213030338,302,2.325759172,471.9599915,53.66004181,302,4.178257942,451.9599915,56.53214264,322.0299988,5.153337955,531.9400024,10.49882698,531.9400024,103.7732239,322.0299988,122.6840515,461.9599915,229.8863831,302,34.20969391,446.9599915,252.4918823,
363.0700073,18.31463242,303.0700073,88.66448212,463.0299988,409.9234314,463.0299988,213.9772797,303.0700073,-4.236344337,522.9799805,660.9213867,303.0700073,-2.407111168,303.0700073,2.267222643,473.0299988,55.56998444,303.0700073,3.98249054,453.0299988,56.57749176,322.9599915,5.091601372,532.9799805,10.15933609,532.9799805,99.27624512,322.9599915,129.7133179,463.0299988,234.0320435,303.0700073,36.08148956,447.8699951,256.4440613,
364,18.40282059,304,94.10693359,463.9299927,411.2460327,463.9299927,212.4838867,304,-2.74732399,524.0200195,670.329834,304,-1.844207287,304,2.800485849,473.9299927,56.2532959,304,4.841264725,453.9299927,57.33108521,324.0599976,6.742543221,534.0200195,10.75799561,534.0200195,95.96203613,324.0599976,132.0159607,463.9299927,236.0644531,304,36.83956146,448.9299927,258.0962219,
365.0700073,18.43764114,305.0700073,102.2837296,465,415.3521118,465,219.7461548,305.0700073,-0.9699707031,525.0700073,673.2974243,305.0700073,-1.209043026,305.0700073,2.741935492,475,57.57238007,305.0700073,5.548177719,455,60.10098267,325,6.278035164,535.0700073,9.497846603,535.0700073,91.29173279,325,137.4344635,465,237.7103271,305.0700073,41.32878113,449.8399963,262.7808533,
