CdS sonochem 180min ex330-400_EX_330.00,,CdS sonochem 180min ex330-400_EX_335.00,,CdS sonochem 180min ex330-400_EX_340.00,,CdS sonochem 180min ex330-400_EX_345.00,,CdS sonochem 180min ex330-400_EX_350.00,,CdS sonochem 180min ex330-400_EX_355.00,,CdS sonochem 180min ex330-400_EX_360.00,,CdS sonochem 180min ex330-400_EX_365.00,,CdS sonochem 180min ex330-400_EX_370.00,,CdS sonochem 180min ex330-400_EX_375.00,,CdS sonochem 180min ex330-400_EX_380.00,,CdS sonochem 180min ex330-400_EX_385.00,,CdS sonochem 180min ex330-400_EX_390.00,,CdS sonochem 180min ex330-400_EX_395.00,,CdS sonochem 180min ex330-400_EX_400.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
446.0599976,-2.321678162,446.0599976,4.428829193,446.0599976,12.61031723,446.0599976,17.88606262,446.0599976,21.29788589,446.0599976,27.49649048,446.0599976,30.82058716,446.0599976,32.93691254,446.0599976,32.29069519,446.0599976,29.99821472,446.0599976,26.87039566,446.0599976,20.54633331,446.0599976,13.70713043,446.0599976,5.982868195,446.0599976,-0.1093940735,
446.9599915,-3.047111511,446.9599915,3.614459991,446.9599915,8.930587769,446.9599915,16.74350739,446.9599915,22.08662415,446.9599915,27.2701416,446.9599915,31.03675842,446.9599915,31.10990143,446.9599915,33.65745544,446.9599915,30.32604218,446.9599915,27.1925354,446.9599915,19.62094879,446.9599915,14.41750336,446.9599915,7.573787689,446.9599915,0.3329429626,
448.0299988,-2.624633789,448.0299988,3.555149078,448.0299988,8.953334808,448.0299988,15.77522278,448.0299988,21.91444397,448.0299988,26.09862137,448.0299988,29.52378845,448.0299988,31.67631531,448.0299988,32.82054901,448.0299988,30.72689819,448.0299988,25.55970383,448.0299988,20.95917892,448.0299988,15.0506134,448.0299988,7.512329102,448.0299988,1.262580872,
448.9299927,-3.459415436,448.9299927,2.871871948,448.9299927,10.28325272,448.9299927,14.6946106,448.9299927,20.54398727,448.9299927,26.28887939,448.9299927,30.99674988,448.9299927,31.17288971,448.9299927,33.29920959,448.9299927,29.91845703,448.9299927,26.05177307,448.9299927,21.67705536,448.9299927,14.15971375,448.9299927,8.905220032,448.9299927,1.506534576,
450,-4.310935974,450,2.155231476,450,8.895774841,450,15.85127258,450,21.53671265,450,26.87504578,450,30.55380249,450,29.31752777,450,32.88204193,450,30.29412079,450,26.27037048,450,20.98433304,450,15.18213654,450,8.963054657,450,2.372447968,
451.0599976,-3.983737946,451.0599976,1.397571564,451.0599976,8.288612366,451.0599976,14.21790314,451.0599976,20.99329758,451.0599976,25.14871216,451.0599976,29.15246582,451.0599976,32.73191833,451.0599976,32.09113312,451.0599976,30.37592316,451.0599976,26.80794525,451.0599976,21.4279747,451.0599976,15.37945175,451.0599976,9.10578537,451.0599976,2.917160034,
451.9599915,-4.47832489,451.9599915,2.123626709,451.9599915,9.607097626,451.9599915,13.48477173,451.9599915,19.88214874,451.9599915,25.71034241,451.9599915,29.16588593,451.9599915,31.71707916,451.9599915,31.29627991,451.9599915,29.97149658,451.9599915,27.26061249,451.9599915,21.91476822,451.9599915,15.5436821,451.9599915,9.223659515,451.9599915,3.115470886,
453.0299988,-5.772737503,453.0299988,1.20998764,453.0299988,7.452766418,453.0299988,13.88314438,453.0299988,18.82544708,453.0299988,25.48278046,453.0299988,29.06057739,453.0299988,30.37731171,453.0299988,31.63244629,453.0299988,28.38150787,453.0299988,27.30357361,453.0299988,20.72038651,453.0299988,16.60388947,453.0299988,10.30248642,453.0299988,3.96326828,
453.9299927,-5.264692307,453.9299927,0.6377906799,453.9299927,6.722579956,453.9299927,13.61206055,453.9299927,18.48760986,453.9299927,24.36001587,453.9299927,28.1031723,453.9299927,29.9996109,453.9299927,31.66001129,453.9299927,29.30368805,453.9299927,27.54350281,453.9299927,22.08214188,453.9299927,15.8988533,453.9299927,9.571540833,453.9299927,4.622947693,
455,-4.861179352,455,-0.05785369873,455,6.229057312,455,12.06439209,455,18.27799606,455,24.08457184,455,27.16585541,455,29.39401245,455,31.45124817,455,28.20024109,455,26.61258316,455,21.73917389,455,15.9275856,455,9.971641541,455,4.754562378,
