CdSe sonochem 30min ex300,,CdSe sonochem 30min ex300 slit10nm,,CdSe sonochem 30min ex375 slit10nm,,CdSe sonochem 30min slit10nm ex320,,CdSe sonochem 30min slit10nm em600,,CdSe sonochem 30min slit10nm ex420,,CdSe sonochem 30min slit10nm em610,,CdSe sonochem 30min slit10nm ex485,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
392,2.112062216,402,22.74761581,322.0299988,21.26873016,422,8.308771133,402,89.82698059,521.9400024,21.57245445,402,8.392215729,576.9099731,15.80556774,
393.0700073,2.083383083,403.0700073,21.48703003,322.9599915,21.37748718,423.0700073,8.17914772,403.0700073,90.30595398,522.9799805,23.14871407,403.0700073,7.908889771,577.9400024,16.0204792,
394,2.202053308,404,21.2510643,324.0599976,21.65678406,424,6.689184189,404,90.43276978,524.0200195,25.65789604,404,8.761587143,578.9699707,15.9545927,
395.0700073,2.173634291,405.0700073,20.83467102,325,22.34525299,425.0700073,5.885759354,405.0700073,94.16168213,525.0700073,28.19997978,405.0700073,8.876466751,579.8499756,15.89308262,
396,1.843137026,406,20.02972603,325.9299927,20.33006287,426,6.594005585,406,93.05332947,525.9699707,29.72000313,406,8.697299957,580.8800049,16.25115967,
397.0700073,1.872329712,407.0700073,20.06924438,327.0299988,18.56289291,427.0700073,6.51127243,407.0700073,94.09315491,527.0100098,31.80995369,407.0700073,8.328723907,581.9099731,16.49677086,
398,1.845960498,408,19.72542191,327.9599915,19.9078598,428,4.818523407,408,93.22239685,528.0499878,34.87145233,408,8.97023201,582.9400024,16.24092674,
399.0700073,1.855244756,409.0700073,18.79968071,329.0599976,16.4577179,429.0700073,6.151882172,409.0700073,95.69934082,528.9500122,37.0403595,409.0700073,8.730772018,583.9699707,16.5364933,
400,1.85683167,410,17.69555283,330,14.4185524,430,4.461837769,410,93.76629639,530,39.89496613,410,8.678775787,584.8499756,16.47386169,
401.0700073,1.836420178,411.0599976,18.04577065,331.0700073,13.03469467,431.0599976,2.925893784,411.0599976,96.34654236,531.039978,41.84549713,411.0599976,8.465827942,585.8800049,17.00076103,
402,1.861487389,411.9599915,17.07025337,332,11.2630043,431.9599915,4.229213715,411.9599915,97.54722595,531.9400024,44.37436676,411.9599915,8.968755722,586.9099731,16.98193932,
403.0700073,1.802571416,413.0299988,16.89129448,333.0700073,8.635631561,433.0299988,3.477014542,413.0299988,98.93360901,532.9799805,46.88944244,413.0299988,8.645845413,587.9400024,17.21982956,
404,1.81433773,413.9299927,16.40955162,334,7.235797882,433.9299927,2.40202713,413.9299927,99.59754944,534.0200195,49.88005829,413.9299927,8.294466019,588.9699707,17.10046577,
405.0700073,1.679341793,415,16.79330826,335.0700073,4.739688873,435,2.092977524,415,101.817337,535.0700073,52.62715912,415,9.360271454,589.8499756,17.29548454,
406,1.699162602,416.0599976,15.94685268,336,1.417404175,436.0599976,1.382886887,416.0599976,105.2887268,535.9699707,55.50540924,416.0599976,8.455978394,590.8800049,17.48940277,
407.0700073,1.520184755,416.9599915,16.00613213,337.0700073,-1.596118927,436.9599915,2.187501907,416.9599915,105.4294739,537.0100098,58.56623077,416.9599915,9.203090668,591.9099731,17.26631355,
408,1.712150216,418.0299988,15.71562099,338,-5.100948334,438.0299988,0.1514911652,418.0299988,108.3099213,538.0499878,61.01578522,418.0299988,9.333026886,592.9400024,18.19288063,
409.0700073,1.711654305,418.9299927,15.75807285,339.0700073,-8.562297821,438.9299927,0.4444446564,418.9299927,108.8616638,538.9500122,63.93029022,418.9299927,9.480215073,593.9699707,17.51592445,
410,1.606451392,420,15.11939526,340,-10.77072144,440,0.8984375,420,110.8632813,540,67.75023651,420,9.148729324,594.8499756,17.66157341,
411.0599976,1.713340282,421.0700073,14.96551609,341.0700073,-13.59609032,441.0599976,-0.1176300049,421.0700073,111.1581421,541.0200195,70.9498291,421.0700073,9.368261337,595.8800049,18.06465721,
411.9599915,1.461778879,422,15.04441547,342,-15.39843369,441.9599915,-0.2312679291,422,112.0024719,542.0499878,74.64917755,422,9.23456955,596.9099731,17.84539986,
413.0299988,1.475632548,423.0700073,14.92966175,343.0700073,-18.52000618,443.0299988,-1.265428543,423.0700073,110.6403198,542.9400024,76.55077362,423.0700073,9.522674561,597.9400024,17.88731194,
413.9299927,1.501175761,424,15.18092823,344,-19.12324905,443.9299927,-1.579059601,424,112.887085,543.9699707,80.24753571,424,9.490781784,598.9699707,18.18427467,
415,1.476113796,425.0700073,14.19602108,345.0700073,-21.55961227,445,-1.488925934,425.0700073,110.7332764,545,84.00422668,425.0700073,9.861162186,599.8499756,18.09016418,
416.0599976,1.438171864,426,14.51247883,346,-23.09857559,446.0599976,-2.474515915,426,111.2568817,546.0200195,86.9092865,426,9.335313797,600.8800049,18.09414101,
416.9599915,1.371869802,427.0700073,14.45286655,347.0700073,-23.7233963,446.9599915,-2.761198044,427.0700073,110.9195251,547.0499878,91.41281128,427.0700073,9.750473022,601.9099731,18.18206978,
418.0299988,1.323258638,428,13.45395756,348,-25.13383484,448.0299988,-2.611600876,428,109.6979218,547.9400024,93.6248703,428,9.459140778,602.9400024,18.31002426,
418.9299927,1.455468774,429.0700073,13.61375141,349.0700073,-25.73518562,448.9299927,-2.629552841,429.0700073,109.1777191,548.9699707,95.89420319,429.0700073,9.653430939,603.9699707,18.64127922,
420,1.182550669,430,13.33392811,350,-25.83622169,450,-3.67984581,430,108.1250305,550,99.9551239,430,9.707115173,604.8499756,18.42823219,
421.0700073,1.234351516,431.0599976,13.46351337,351.0700073,-26.98527527,451.0599976,-3.246828079,431.0599976,108.328598,551.039978,102.3368301,431.0599976,10.23662758,605.8800049,18.72650719,
422,1.277167559,431.9599915,12.85743141,352,-27.2007122,451.9599915,-4.719303131,431.9599915,109.5600128,551.9400024,105.7741776,431.9599915,9.466749191,606.9099731,19.21815491,
423.0700073,1.366755843,433.0299988,12.83710194,353.0700073,-28.09683609,453.0299988,-5.29734993,433.0299988,109.7306824,552.9799805,108.6790924,433.0299988,10.35300636,607.9400024,17.88721466,
424,1.239947677,433.9299927,11.81865501,354,-28.08223724,453.9299927,-4.708110809,433.9299927,110.0733032,554.0200195,111.5300674,433.9299927,9.623231888,608.9699707,18.80856705,
425.0700073,1.301010728,435,12.79937363,355.0700073,-28.9386425,455,-5.260065079,435,111.1584167,555.0700073,116.3972092,435,10.19040871,609.8499756,18.55443573,
426,1.195275545,436.0599976,13.02143192,,,456.0599976,-5.116926193,436.0599976,113.9107666,555.9699707,117.482048,436.0599976,9.902917862,610.8599854,18.35299683,
427.0700073,1.063635349,436.9599915,12.48735142,,,456.9599915,-5.525568008,436.9599915,112.9519196,557.0100098,121.7058029,436.9599915,9.877500534,611.8800049,18.86357689,
428,1.299237013,438.0299988,11.89865017,,,458.0299988,-5.896450043,438.0299988,114.2530823,558.0499878,125.1376114,438.0299988,9.896455765,612.8900146,18.73699951,
429.0700073,1.026481628,438.9299927,11.67640686,,,458.9299927,-6.14837265,438.9299927,114.7890625,558.9500122,126.7091446,438.9299927,10.55247688,613.9099731,18.79684448,
430,1.151604414,440,11.37690926,,,460,-6.700752258,440,115.551239,560,130.5148773,440,10.27813148,614.9199829,18.76383591,
431.0599976,1.219374299,441.0599976,10.95667934,,,461.0599976,-7.073370934,441.0599976,117.1441193,561.039978,132.5554047,441.0599976,10.48830795,615.9400024,19.00720024,
431.9599915,1.25344789,441.9599915,10.70663261,,,461.9599915,-7.282804489,441.9599915,115.7646942,561.9400024,135.4034576,441.9599915,10.43129921,616.9500122,18.41158676,
433.0299988,1.125467539,443.0299988,10.94381523,,,463.0299988,-6.908426285,443.0299988,117.0868073,562.9799805,137.3465118,443.0299988,10.84005547,617.9699707,18.64805794,
433.9299927,1.083960176,443.9299927,11.26150513,,,463.9299927,-8.225315094,443.9299927,118.9699249,564.0200195,141.1824341,443.9299927,10.48236656,618.9799805,18.60320663,
435,0.979139626,445,10.60260105,,,465,-7.921321869,445,117.1078339,565.0700073,144.0113831,445,10.49782562,619.8499756,18.36075211,
436.0599976,1.227134705,446.0599976,10.21791363,,,466.0599976,-8.810693741,446.0599976,119.4284668,565.9699707,146.4043732,446.0599976,10.54327965,620.8800049,18.49274254,
436.9599915,1.103605628,446.9599915,9.889705658,,,466.9599915,-8.216151237,446.9599915,118.219635,567.0100098,148.3330231,446.9599915,11.09076691,621.9099731,18.30977058,
