CdS sonochem 90min ex335,,CdS sonochem 90min em410,,CdS sonochem 90min ex300,,CdS sonochem 90min em350,,CdS sonochem 90min ex295,,CdS sonochem 90min ex295 slow,,CdS sonochem 90min ex335 slow,,CdS sonochem 90min em410 slow,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
478.9299927,47.46385193,374,47.19747162,443.9299927,51.25959396,,,438.9299927,52.48004913,438.9299927,53.45927429,478.9299927,46.22457123,374,48.24179459,
479.8399963,43.69363403,375.0700073,46.20981598,445,49.33424759,,,440,51.79221344,440,53.42869568,479.8399963,44.3782196,375.0700073,45.44513321,
480.8999939,43.56246948,376,43.94664001,446.0599976,48.69587326,,,441.0599976,51.47483826,441.0599976,52.45269775,480.8999939,43.21276855,376,43.51320648,
481.9599915,41.93536377,377.0700073,40.82875061,446.9599915,47.9933815,,,441.9599915,49.80607605,441.9599915,51.90957642,481.9599915,42.89707184,377.0700073,40.70188904,
482.8699951,41.27789307,378,39.40290833,448.0299988,46.60732651,,,443.0299988,49.80183411,443.0299988,50.64878845,482.8699951,41.9375,378,39.30365372,
483.9299927,39.34204102,379.0700073,36.38372803,448.9299927,46.18809891,,,443.9299927,50.61357117,443.9299927,50.21723175,483.9299927,39.83357239,379.0700073,36.64887619,
484.8399963,38.78308868,380,33.35919952,450,45.93355179,,,445,47.25034332,445,49.83280182,484.8399963,38.15955734,380,34.35558319,
485.8999939,39.639328,381.0700073,31.88659859,451.0599976,43.53713608,,,446.0599976,49.08001709,446.0599976,48.96721649,485.8999939,37.77469635,381.0700073,31.65333557,
486.9599915,38.02787781,382,30.57670784,451.9599915,44.19442368,,,446.9599915,45.46819305,446.9599915,48.18544006,486.9599915,36.44707489,382,29.75301743,
487.8699951,35.67396545,383.0700073,27.51858711,453.0299988,42.07987595,,,448.0299988,45.75266266,448.0299988,46.86339569,487.8699951,35.45439911,383.0700073,27.02166748,
