CdS sonochem 60min ex300,,CdS sonochem 60min em400,,CdS sonochem 60min ex330,,CdS sonochem 60min em410,,CdS sonochem 60min ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
398,148.1925049,327.9599915,224.2841339,428,195.7323761,327.9599915,227.6937408,432.8699951,202.8226318,
399.0700073,146.3173218,329.0599976,221.9154663,429.0700073,196.1338501,329.0599976,230.1642151,433.9299927,196.7518158,
400,143.768692,330,226.2497711,430,197.8067474,330,231.4216309,434.8399963,191.9183044,
401.0700073,145.5098572,331.0700073,226.2065277,431.0599976,189.556015,331.0700073,232.308609,435.8999939,190.4015503,
402,145.2209625,332,226.1397858,431.9599915,186.0249329,332,233.5933075,436.9599915,187.6916351,
403.0700073,141.9164429,333.0700073,227.2753601,433.0299988,182.7233124,333.0700073,236.0941315,437.8699951,185.6525116,
404,143.1362305,334,227.3816681,433.9299927,181.6251221,334,237.9513092,438.9299927,180.1173553,
405.0700073,143.8012695,335.0700073,225.6541901,435,179.8707275,335.0700073,235.0136566,439.8399963,175.8621521,
406,143.1652069,336,226.7971039,436.0599976,170.5366974,336,234.9073029,440.8999939,174.0173645,
407.0700073,141.4720154,337.0700073,222.5623779,436.9599915,172.2380066,337.0700073,235.6491852,441.9599915,167.8078003,
408,140.6411133,338,221.3199158,438.0299988,166.3135376,338,233.3161469,442.8699951,166.0057831,
409.0700073,139.0614777,339.0700073,217.3635864,438.9299927,162.8415833,339.0700073,235.3889923,443.9299927,166.1808472,
410,138.8159637,340,209.5675964,440,160.602951,340,232.9268646,444.8399963,163.0941467,
411.0599976,141.2048035,341.0700073,213.2950134,441.0599976,155.1524811,341.0700073,228.8349457,445.8999939,155.8594513,
411.9599915,140.9744415,342,208.5262451,441.9599915,152.0033722,342,225.7957458,446.9599915,152.7109375,
413.0299988,137.095108,343.0700073,203.0623016,443.0299988,148.7249298,343.0700073,223.6231689,447.8699951,149.596344,
413.9299927,137.8720398,344,198.9986267,443.9299927,145.2785492,344,226.3245697,448.9299927,148.164566,
415,137.1986084,345.0700073,196.6213837,445,143.9465332,345.0700073,222.5111694,449.8399963,146.3279266,
416.0599976,139.317337,346,195.3027649,446.0599976,139.8864136,346,220.5683441,450.8999939,144.6878967,
