CdSe 180sec ex295,,CdSe 180sec ex340,,CdSe 180sec ex455,,CdSe 180sec em530,,CdSe 180sec ex420,,CdSe 180sec ex330,,CdSe 180sec em420,,CdSe 180sec ex355,,CdSe 180sec em455,,CdSe 180sec ex390,,CdSe 180sec em460,,CdSe 180sec ex400,,CdSe 180sec em530,,CdSe 180sec em530,,CdSe 180sec ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
364,0.08202315867,409.0700073,4.279062271,524.0200195,21.04606056,349.0700073,7.381654739,488.9299927,1.790195227,399.0700073,1.035759568,299.0599976,0.102619797,423.8399963,1.881721735,299.0599976,-0.6530374885,458.9299927,3.82092905,299.0599976,-0.3529940844,468.9299927,3.920389175,349.0700073,7.0033741,329.0599976,3.435292482,488.9299927,1.859670162,
365.0700073,0.1151533127,410,4.594785213,525.0700073,21.71466827,350,6.823569775,490,1.947333097,400,1.002479792,300,0.05665889382,424.9200134,2.174661636,300,-0.6466997862,460,4.242014408,300,-0.2899770737,470,3.57596612,350,7.397164822,330,3.490407228,490,1.861772776,
366,0.08994939923,411.0599976,3.941573143,525.9699707,22.38482094,351.0700073,7.016263962,491.0400085,1.843748331,401.0700073,1.089918256,301.0700073,-0.04164159298,425.8399963,2.089430571,301.0700073,-0.5278750658,461.0599976,3.93452549,301.0700073,-0.3504476547,471.0599976,3.449332714,351.0700073,6.774533749,331.0700073,2.989501715,491.0400085,1.87383604,
367.0700073,-0.0536229983,411.9599915,4.820094109,527.0100098,22.87368202,352,7.436735153,491.9400024,1.915208817,402,1.261299133,302,0.01153437793,426.9200134,2.059127808,302,-0.5211547017,461.9599915,4.077933311,302,-0.1747769415,471.9599915,3.322786808,352,6.618013382,332,3.384074926,491.9400024,1.7028234,
368,0.04163701087,413.0299988,4.716546535,528.0499878,23.07088089,353.0700073,7.612324238,492.980011,1.744592667,403.0700073,1.127106905,303.0700073,-0.07006271183,427.8399963,2.023505688,303.0700073,-0.5881430507,463.0299988,3.856468678,303.0700073,-0.2181397974,473.0299988,3.72812891,353.0700073,7.265400887,333.0700073,3.923470259,492.980011,1.799260616,
369.0700073,-0.02566399053,413.9299927,4.706523418,528.9500122,22.68610954,354,7.696016788,494.019989,1.853866339,404,1.187004805,304,0.03763499856,428.9200134,1.856451988,304,-0.3634848595,463.9299927,4.046578884,304,-0.1985500455,473.9299927,3.086965322,354,7.596509933,334,4.336268425,494.019989,1.723659992,
370,0.043670021,415,4.834153652,530,23.09006691,355.0700073,8.510642052,495.0700073,1.969714165,405.0700073,1.646484017,305.0700073,0.1438522637,429.8399963,2.145258904,305.0700073,-0.4487858713,465,4.28380537,305.0700073,-0.3502428532,475,3.345382452,355.0700073,7.501607895,335.0700073,4.271341324,495.0700073,1.798955679,
371.0700073,0.07025995106,416.0599976,5.592953205,531.039978,22.2961216,356,7.55690527,495.9700012,1.837416649,406,1.357303858,306,0.1407649815,430.8999939,2.002637863,306,-0.3423134387,466.0599976,3.680235386,306,-0.1516242325,476.0599976,3.341531515,356,7.36567688,336,4.070504189,495.9700012,1.775003433,
372,0.05847276002,416.9599915,5.069974422,531.9400024,21.86286736,357.0700073,8.35717392,497.0100098,2.058417559,407.0700073,1.046791553,307.0700073,0.007425144315,431.9599915,2.209524393,307.0700073,-0.4743785858,466.9599915,4.024223804,307.0700073,-0.0977320075,476.9599915,3.057954311,357.0700073,8.205112457,337.0700073,4.680847168,497.0100098,1.838418722,
373.0700073,0.01560453326,418.0299988,5.183731079,532.9799805,22.33436775,358,8.502467155,498.0499878,2.145388126,408,1.362117648,308,0.2438806891,432.8699951,2.304814339,308,-0.6259266734,468.0299988,3.95968914,308,-0.01082456112,478.0299988,3.093019247,358,8.005141258,338,3.923023462,498.0499878,2.030305862,
