CdS sonochem 180min em420,,CdS sonochem 180min ex360,,CdS sonochem 180min em440,,CdS sonochem 180min ex365,,CdS sonochem 180min ex370,,CdS sonochem 180min em512,,CdS sonochem 180min ex400,,CdS sonochem 180min em515,,CdS sonochem 180min em435,,CdS sonochem 180min ex295,,CdS sonochem 180min em400,,CdS sonochem 180min ex340,,CdS sonochem 180min em425,,CdS sonochem 180min ex385,,CdS sonochem 180min ex365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
275.0700073,-0.7148292065,405.0700073,36.21305847,275.0700073,-1.073467016,409.8399963,41.36978149,415,45.16632462,275.0700073,-2.824859619,445,27.30169868,275.0700073,-2.837664604,275.0700073,-0.4665207863,340,0.8513255119,275.0700073,-0.1677263975,385.0700073,20.21757507,275.0700073,-1.160295248,429.8399963,39.99222565,409.8399963,40.88886642,
276,-0.432993412,406,36.61536789,276,-1.197553873,410.8999939,43.16782379,416.0599976,46.04051208,276,-2.867668867,446.0599976,27.65438271,276,-3.251847506,276,-0.7371594906,341.0700073,1.008831739,276,-0.4001302719,386,20.5886116,276,-1.342511892,430.8999939,40.60191345,410.8999939,43.06726456,
277.0700073,-0.7579016685,407.0700073,40.43278122,277.0700073,-1.271196127,411.9599915,44.49359512,416.9599915,48.67401505,277.0700073,-2.811410189,446.9599915,28.87735939,277.0700073,-3.45591259,277.0700073,-0.9659233093,342,1.128159881,277.0700073,-0.3397248983,387.0700073,22.88211823,277.0700073,-1.443147898,431.9599915,42.51377487,411.9599915,43.59386826,
278,-0.7089650631,408,42.26063538,278,-1.183706045,412.8699951,45.92551804,418.0299988,50.13494492,278,-2.971320629,448.0299988,28.69968987,278,-3.276457548,278,-1.004430771,343.0700073,0.9499769807,278,-0.404615283,388,23.80489731,278,-1.460371971,432.8699951,43.16116333,412.8699951,45.06692505,
279.0700073,-1.037262559,409.0700073,41.75594711,279.0700073,-1.499110937,413.9299927,47.04895782,418.9299927,51.93297577,279.0700073,-2.922893763,448.9299927,29.24065971,279.0700073,-3.396294594,279.0700073,-1.220158577,344,1.171272635,279.0700073,-0.6342980862,389.0700073,24.35143661,279.0700073,-1.415227175,433.9299927,44.20615768,413.9299927,48.06145096,
280,-1.041171074,410,44.87354279,280,-1.524121761,414.8399963,47.61204529,420,53.41718292,280,-3.537836552,450,29.87999535,280,-3.750063896,280,-1.171161294,345.0700073,1.285375237,280,-0.2315878868,390,24.92751694,280,-1.725744963,434.8399963,44.56179428,414.8399963,47.48910141,
280.9299927,-1.039785147,411.0599976,46.95207977,280.9299927,-1.715656757,415.8999939,50.69767761,421.0700073,52.62672806,280.9299927,-3.446027994,451.0599976,30.69412422,280.9299927,-3.601674318,280.9299927,-1.25679338,346,1.295374393,280.9299927,-0.7182402611,391.0700073,26.25297546,280.9299927,-1.998842716,435.8999939,46.68890762,415.8999939,49.46213531,
282.0299988,-0.8613257408,411.9599915,47.77071381,282.0299988,-1.70314014,416.9599915,52.1212883,422,55.20485687,282.0299988,-3.339329004,451.9599915,30.89762306,282.0299988,-3.786412716,282.0299988,-1.180289626,347.0700073,1.312732458,282.0299988,-0.4494985342,392,27.25286865,282.0299988,-1.696946383,436.9599915,46.25603485,416.9599915,51.92132187,
282.9599915,-1.036835551,413.0299988,49.53320313,282.9599915,-1.34413743,417.8699951,52.4498024,423.0700073,56.7741127,282.9599915,-3.289569616,453.0299988,31.33172035,282.9599915,-3.520517349,282.9599915,-1.2653054,348,1.518363953,282.9599915,-0.6315460205,393.0700073,28.56915283,282.9599915,-1.690118194,437.8699951,46.56450272,417.8699951,50.62567902,
284.0599976,-0.9733276367,413.9299927,51.39067841,284.0599976,-1.632431388,418.9299927,55.78944016,424,58.92377472,284.0599976,-3.103036165,453.9299927,32.18121338,284.0599976,-3.289921045,284.0599976,-0.9372723103,349.0700073,1.389731526,284.0599976,-0.4863103628,394,28.86375427,284.0599976,-1.495856762,438.9299927,47.0185318,418.9299927,55.23947906,
285,-0.7222855091,415,51.2867012,285,-1.454288125,419.8399963,56.09054947,425.0700073,59.68356705,285,-2.99829793,455,32.51408386,285,-3.289531469,285,-0.947781086,350,1.484505773,285,-0.243069768,395.0700073,29.67720413,285,-1.344201565,439.8399963,47.64673233,419.8399963,55.24867249,
285.9299927,-0.8308746815,416.0599976,53.80970001,285.9299927,-1.325772047,420.9200134,57.11791992,426,59.22493362,285.9299927,-2.709588528,456.0599976,32.14411163,285.9299927,-3.052785397,285.9299927,-0.877758503,351.0700073,1.650093317,285.9299927,-0.03441619873,396,30.41574478,285.9299927,-1.165920973,440.8999939,48.51709747,420.9200134,56.15279388,
