CdS 50sec ex310,,CdS 50sec em375,,CdS 50sec em385,,CdS 50sec em380,,CdS 50sec em375,,CdS 50sec ex300,,CdS 60sec ex300,,CdS 60sec em380,,CdS 60sec em390,,CdS 60sec ex325,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
394,113.2895355,314,117.3277435,314,97.08345795,314,93.46509552,314,93.45574188,394,84.2137146,394,51.72436905,314,93.00283051,314,93.96904755,408.9200134,110.9642868,
395.0700073,112.4295578,315.0700073,115.1922302,315.0700073,94.78407288,315.0700073,93.39778137,315.0700073,89.90563965,395.0700073,82.58161926,395.0700073,51.96590042,315.0700073,100.0149689,315.0700073,97.16249084,409.8399963,106.0415802,
396,112.5137558,316,112.0462036,316,94.0896759,316,91.80461121,316,90.19223022,396,82.08380127,396,51.47356415,316,100.204628,316,103.4108734,410.8999939,105.3627625,
397.0700073,108.3447952,317.0700073,106.020668,317.0700073,94.58364105,317.0700073,89.88946533,317.0700073,88.11142731,397.0700073,82.26679993,397.0700073,51.12286377,317.0700073,102.4915924,317.0700073,107.9036407,411.9599915,107.5943832,
398,108.4892044,318,106.2931442,318,92.70396423,318,88.10975647,318,85.11076355,398,78.69158936,398,49.79430771,318,106.8955688,318,107.7648926,412.8699951,106.3222656,
399.0700073,106.5084457,319.0700073,107.1105728,319.0700073,89.3187561,319.0700073,87.50184631,319.0700073,85.06700897,399.0700073,79.06629181,399.0700073,47.39227676,319.0700073,107.1247482,319.0700073,109.6234512,413.9299927,103.2311554,
400,107.3473587,320,102.2084122,320,89.43911743,320,84.59066772,320,82.81820679,400,77.19664001,400,49.46195984,320,107.0262604,320,109.2046204,414.8399963,103.6541138,
401.0700073,104.5443039,320.9299927,97.7394104,320.9299927,89.64653015,320.9299927,84.368927,320.9299927,83.21420288,401.0700073,77.1997757,401.0700073,48.21822357,320.9299927,108.7114868,320.9299927,115.1102142,415.8999939,101.2096329,
402,101.8292847,322.0299988,98.84975433,322.0299988,88.18686676,322.0299988,83.54885864,322.0299988,79.8660202,402,74.39917755,402,46.88624573,322.0299988,110.7182007,322.0299988,117.6890564,416.9599915,98.35386658,
403.0700073,100.0606232,322.9599915,94.67679596,322.9599915,85.12827301,322.9599915,82.34880829,322.9599915,76.56509399,403.0700073,72.747612,403.0700073,46.65301132,322.9599915,112.5042725,322.9599915,118.2246704,417.8699951,97.62094879,
404,98.19974518,324.0599976,91.2334137,324.0599976,86.8646698,324.0599976,83.35411835,324.0599976,78.1489563,404,71.84552002,404,47.50726318,324.0599976,112.0510406,324.0599976,117.6556549,418.9299927,96.67230988,
405.0700073,96.01156616,325,90.30661011,325,85.50782013,325,81.71366882,325,73.81056976,405.0700073,70.58000946,405.0700073,46.0523262,325,109.6291428,325,117.2789612,419.8399963,94.69420624,
406,95.56507111,325.9299927,86.7457962,325.9299927,82.85381317,325.9299927,79.18838501,325.9299927,71.52912903,406,69.71611023,406,46.38026428,325.9299927,109.3633194,325.9299927,116.5997314,420.9200134,94.04181671,
407.0700073,96.6940155,327.0299988,83.87863922,327.0299988,79.06977081,327.0299988,75.97689819,327.0299988,69.57426453,407.0700073,69.34585571,407.0700073,44.55634308,327.0299988,109.2423935,327.0299988,117.4450378,421.8399963,93.03281403,
408,91.75685883,327.9599915,82.38478851,327.9599915,80.08647919,327.9599915,72.87425995,327.9599915,67.91194916,408,69.11356354,408,43.37442017,327.9599915,107.8997955,327.9599915,115.8993378,422.9200134,90.70799255,
409.0700073,90.74147797,329.0599976,78.76408386,329.0599976,77.92761993,329.0599976,72.77989197,329.0599976,66.85936737,409.0700073,66.89592743,409.0700073,43.90664673,329.0599976,101.6512299,329.0599976,113.7979279,423.8399963,88.17276001,
410,89.24607849,330,74.30537415,330,75.39385986,330,69.26568604,330,62.7362175,410,64.69264984,410,42.49789047,330,102.8785095,330,115.2895203,424.9200134,82.77155304,
411.0599976,87.5242157,331.0700073,72.12230682,331.0700073,74.88143158,331.0700073,69.25145721,331.0700073,60.61648178,411.0599976,64.46875763,411.0599976,42.81872559,331.0700073,95.04880524,331.0700073,107.7411804,425.8399963,86.44799805,
411.9599915,86.77799225,332,65.39598083,332,72.42644501,332,64.02583313,332,57.5218544,411.9599915,63.37863159,411.9599915,42.83996201,332,92.86140442,332,108.7744446,426.9200134,85.55001831,
413.0299988,82.89977264,333.0700073,62.00150681,333.0700073,68.20085907,333.0700073,61.93024445,333.0700073,55.13653946,413.0299988,63.47179413,413.0299988,39.96677399,333.0700073,90.32120514,333.0700073,105.1678772,427.8399963,84.0326004,
