CdS 180sec em380,,CdS 180sec ex310,,CdS 180sec em365,,CdS 180sec ex260,,CdS 180sec em285,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
340,90.67537689,420,116.0683823,340,45.54568481,365.0700073,22.17724991,,,
341.0700073,86.36147308,421.0700073,116.8693848,341.0700073,40.86297226,366,22.54812241,,,
342,82.94657135,422,114.4322662,342,35.17546844,367.0700073,23.41072464,,,
343.0700073,77.7935791,423.0700073,110.0106735,343.0700073,32.22829819,368,23.36572647,,,
344,75.99446869,424,110.0306931,344,29.51543808,369.0700073,24.20154572,,,
345.0700073,70.03413391,425.0700073,105.7264938,345.0700073,27.09145355,370,23.39395905,,,
346,67.8688736,426,105.3579865,346,23.15628815,371.0700073,23.24318695,,,
347.0700073,62.37684631,427.0700073,100.8842926,347.0700073,21.63002777,372,23.95074081,,,
348,60.40436554,428,98.77159119,348,18.93213272,373.0700073,24.39418793,,,
349.0700073,56.36483765,429.0700073,99.30825806,349.0700073,16.16009903,374,24.50778198,,,
350,54.50932312,430,95.5999527,350,15.37120342,375.0700073,25.81042099,,,
351.0700073,51.27820587,431.0599976,95.84590912,,,376,25.65851974,,,
352,45.85478592,431.9599915,92.41692352,,,377.0700073,25.01844406,,,
353.0700073,42.26288986,433.0299988,90.73860931,,,378,26.09317398,,,
354,40.81234741,433.9299927,88.31428528,,,379.0700073,26.06610489,,,
355.0700073,38.57082367,435,87.29973602,,,380,24.88180161,,,
356,35.90875626,436.0599976,85.81381226,,,381.0700073,25.74750137,,,
357.0700073,31.84747696,436.9599915,83.1485672,,,382,25.22550201,,,
358,28.44949341,438.0299988,83.01815033,,,383.0700073,26.33100128,,,
359.0700073,25.81417465,438.9299927,80.53313446,,,384,25.68522644,,,
360,24.13585281,440,79.4948349,,,385.0700073,25.82655716,,,
361.0700073,20.93971634,441.0599976,77.4563446,,,386,25.69161606,,,
362,20.29265976,441.9599915,76.76635742,,,387.0700073,26.75096512,,,
363.0700073,17.99285126,443.0299988,74.73760223,,,388,27.73402405,,,
364,15.64427662,443.9299927,73.29421997,,,389.0700073,26.72842407,,,
365.0700073,13.44851017,445,72.46389008,,,390,26.21426392,,,
366,11.82100964,446.0599976,71.26171112,,,391.0700073,27.00193787,,,
367.0700073,8.800488472,446.9599915,70.01054382,,,392,26.89866638,,,
368,7.499260902,448.0299988,69.635849,,,393.0700073,26.16500854,,,
369.0700073,6.44967556,448.9299927,67.4911499,,,394,26.07548904,,,
370,4.762890816,450,64.38327789,,,395.0700073,25.85432053,,,
,,451.0599976,64.15302277,,,396,25.84501648,,,
,,451.9599915,65.50849915,,,397.0700073,27.83548737,,,
,,453.0299988,63.68275452,,,398,26.56600189,,,
,,453.9299927,61.81723785,,,399.0700073,27.27715302,,,
,,455,61.46605682,,,400,26.90854645,,,
,,456.0599976,60.40130615,,,401.0700073,26.70902634,,,
,,456.9599915,60.14872742,,,402,25.9998436,,,
,,458.0299988,59.43790436,,,403.0700073,26.14185715,,,
,,458.9299927,58.70780182,,,404,27.21970367,,,
,,460,56.19391632,,,405.0700073,27.39731598,,,
,,461.0599976,55.69229889,,,406,27.1615181,,,
,,461.9599915,53.13941956,,,407.0700073,26.67414856,,,
,,463.0299988,54.8416748,,,408,27.32662582,,,
,,463.9299927,55.71704865,,,409.0700073,26.92505646,,,
,,465,51.31167603,,,410,27.20179749,,,
,,466.0599976,52.06159973,,,411.0599976,27.65351868,,,
,,466.9599915,50.29122162,,,411.9599915,27.5495491,,,
,,468.0299988,48.87878418,,,413.0299988,28.39396667,,,
,,468.9299927,48.63236237,,,413.9299927,27.14447021,,,
,,470,48.1653595,,,415,27.84492111,,,
,,471.0599976,47.3399353,,,416.0599976,27.19301224,,,
,,471.9599915,45.10967255,,,416.9599915,27.70524216,,,
,,473.0299988,45.09387207,,,418.0299988,27.5532608,,,
,,473.9299927,44.10075378,,,418.9299927,27.28332901,,,
,,475,44.27728271,,,420,28.45072556,,,
,,476.0599976,41.47351837,,,421.0700073,27.4222374,,,
,,476.9599915,41.17260742,,,422,26.28934097,,,
,,478.0299988,41.55529022,,,423.0700073,27.51289749,,,
,,478.9299927,41.25157166,,,424,27.77178574,,,
,,480,39.86519623,,,425.0700073,27.01231384,,,
,,481.0599976,38.47333527,,,426,27.72563553,,,
,,481.9599915,37.42598724,,,427.0700073,27.88433075,,,
,,483.0299988,37.61644745,,,428,26.45832062,,,
,,483.9299927,37.80327606,,,429.0700073,26.20249176,,,
,,485,33.72854614,,,430,25.99934769,,,
,,486.0599976,34.4944458,,,431.0599976,25.68844986,,,
,,486.9599915,34.52845764,,,431.9599915,26.69683075,,,
,,488.0299988,32.60803223,,,433.0299988,24.51132202,,,
,,488.9299927,32.70717621,,,433.9299927,24.92382813,,,
,,490,31.40876961,,,435,24.88597107,,,
,,491.0400085,31.21013832,,,436.0599976,24.12922287,,,
,,491.9400024,31.08139992,,,436.9599915,24.33650208,,,
,,492.980011,30.76868248,,,438.0299988,23.06700134,,,
,,494.019989,29.23809242,,,438.9299927,23.91176224,,,
,,495.0700073,29.29354668,,,440,23.65021896,,,
,,495.9700012,28.57434654,,,441.0599976,24.13006592,,,
,,497.0100098,27.44121361,,,441.9599915,24.09422302,,,
,,498.0499878,27.00068855,,,443.0299988,23.27450943,,,
,,498.9500122,26.22889137,,,443.9299927,21.98788452,,,
,,500,24.80612373,,,445,22.94540405,,,
,,501.0400085,26.44696617,,,446.0599976,22.74153519,,,
,,501.9400024,24.97867012,,,446.9599915,20.98016357,,,
,,502.980011,23.2338047,,,448.0299988,21.15058136,,,
,,504.019989,23.51158333,,,448.9299927,21.80103302,,,
