CdSe sonochem 120min ex330,,CdSe sonochem 120min ex345,,CdSe sonochem 120min ex360,,CdSe sonochem 120min em420,,CdSe sonochem 120min em523,,CdSe sonochem 120min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
446.0599976,104.166275,460.8999939,116.124649,476.0599976,97.73787689,346,170.4858246,366,141.6442719,500.8900146,92.25522614,
446.9599915,104.5121841,461.9599915,115.5876465,476.9599915,95.81147003,347.0700073,168.8298798,367.0700073,143.2090454,501.9400024,92.62965393,
448.0299988,101.0276794,462.8699951,113.9486847,478.0299988,93.64305115,348,166.3928528,368,144.3763275,502.980011,97.83141327,
448.9299927,102.2651291,463.9299927,109.5750427,478.9299927,92.32653046,349.0700073,167.1663208,369.0700073,142.9583588,503.8800049,100.412117,
450,101.5558777,464.8399963,109.5895233,480,89.16469574,350,164.7800446,370,147.8525543,504.9200134,105.4027786,
451.0599976,100.2789612,465.8999939,108.3834076,481.0599976,87.84675598,351.0700073,160.3215332,371.0700073,148.3466797,505.9700012,107.7910385,
451.9599915,94.22405243,466.9599915,106.424469,481.9599915,86.21081543,352,159.2801361,372,150.6206055,506.8599854,108.5168991,
453.0299988,94.21652985,467.8699951,102.7878876,483.0299988,85.09085083,353.0700073,157.1968994,373.0700073,150.2311249,507.9100037,113.4317703,
453.9299927,93.87307739,468.9299927,100.4167328,483.9299927,84.4866333,354,153.8186188,374,150.5147705,508.9500122,115.8359451,
455,91.03195953,469.8399963,98.99749756,485,81.40260315,355.0700073,153.2109985,375.0700073,152.3604279,509.8500061,120.85186,
456.0599976,92.10261536,470.8999939,96.95141602,486.0599976,80.50798798,356,148.9121094,376,151.356369,510.8999939,123.9481125,
456.9599915,90.01257324,471.9599915,94.92555237,486.9599915,79.01002502,357.0700073,146.3317566,377.0700073,153.4071655,511.9599915,129.1069489,
458.0299988,86.68742371,472.8699951,92.12368774,488.0299988,80.84213257,358,143.3805084,378,150.9837341,512.8699951,129.1156921,
458.9299927,87.89489746,473.9299927,90.93992615,488.9299927,79.44271088,359.0700073,139.7893829,379.0700073,154.2230835,513.9299927,132.9694519,
460,84.25034332,474.8399963,86.87747192,490,78.10375977,360,137.4415741,380,153.5772705,514.8400269,137.1090698,
461.0599976,82.88977814,475.8999939,84.79281616,491.0400085,77.16056061,361.0700073,135.3083954,381.0700073,153.6857758,515.9000244,137.8061676,
461.9599915,81.57975769,476.9599915,82.95597839,491.9400024,76.52435303,362,130.6892853,382,153.6485291,516.960022,138.8682098,
463.0299988,79.99259949,477.8699951,82.27876282,492.980011,76.9396286,363.0700073,129.2147064,383.0700073,155.0923004,517.8699951,142.898468,
463.9299927,77.17168427,478.9299927,81.45233154,494.019989,78.16226196,364,126.0727386,384,153.4322968,518.9299927,144.3046417,
465,78.70336914,479.8399963,77.82067871,495.0700073,77.38737488,365.0700073,122.6857758,385.0700073,152.4592285,519.8400269,144.0051422,
466.0599976,75.29508209,480.8999939,78.88615417,495.9700012,79.61452484,366,119.7798996,386,153.6388245,520.8900146,147.2266998,
466.9599915,73.79502869,481.9599915,73.50930786,497.0100098,80.14842987,367.0700073,115.019989,387.0700073,153.6964111,521.9400024,146.2774048,
468.0299988,71.28478241,482.8699951,75.12419128,498.0499878,81.55825806,368,110.9204636,388,154.3637695,522.9799805,145.0119324,
468.9299927,71.70226288,483.9299927,72.00912476,498.9500122,81.16946411,369.0700073,108.5021896,389.0700073,153.2749023,523.8800049,144.6887054,
470,67.13415527,484.8399963,70.44454956,500,85.55786133,370,108.1414337,390,154.9195099,524.9199829,144.9287567,
471.0599976,67.66030121,485.8999939,71.22459412,501.0400085,87.16681671,371.0700073,105.6033478,391.0599976,154.02211,525.9699707,143.6445313,
471.9599915,63.97681427,486.9599915,69.23356628,501.9400024,88.35018158,372,101.3456879,391.9599915,153.474411,526.8599854,143.0865326,
473.0299988,64.4989624,487.8699951,69.1660614,502.980011,89.95396423,373.0700073,97.63918304,393.0299988,154.0004425,527.9099731,141.3847656,
473.9299927,62.71508789,488.9299927,67.47161865,504.019989,94.15983582,374,96.37747192,393.9299927,153.1196899,528.9500122,140.8431549,
