CdSe sonochem 150min ex330,,CdSe sonochem 150min ex345,,CdSe sonochem 150min ex360,,CdSe sonochem 150min em420,,CdSe sonochem 150min em528,,CdSe sonochem 150min ex390,,CdSe sonochem 150min ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
470,55.69879532,484.8399963,58.08538818,500,68.75189209,370,91.52799988,400,146.9298401,530,141.3322144,560,65.93060303,
471.0599976,54.29898834,485.8999939,58.93188477,501.0400085,70.07698059,371.0700073,87.77295685,401.0700073,146.6360626,531.039978,139.7374573,561.039978,64.02862549,
471.9599915,51.94902039,486.9599915,57.32827759,501.9400024,72.17643738,372,85.50408173,402,145.9069061,531.9400024,138.1765137,561.9400024,62.73533249,
473.0299988,52.69735718,487.8699951,57.24141693,502.980011,73.29574585,373.0700073,82.6194458,403.0700073,146.3795319,532.9799805,137.1402893,562.9799805,61.37686539,
473.9299927,51.20524979,488.9299927,57.16452789,504.019989,75.44940948,374,81.68718719,404,145.7815704,534.0200195,133.6176147,564.0200195,60.59560776,
475,49.18334961,489.8399963,55.13926315,505.0700073,77.04058075,375.0700073,79.93920135,405.0700073,145.0852661,535.0700073,131.8679047,565.0700073,59.53303909,
476.0599976,46.92360306,490.8900146,55.42940903,505.9700012,78.96475983,376,75.9790802,406,143.8683167,535.9699707,130.8841705,565.9699707,58.02556992,
476.9599915,47.4509201,491.9400024,54.51163483,507.0100098,80.40807343,377.0700073,73.65238953,407.0700073,145.2934875,537.0100098,126.8043976,567.0100098,56.50503159,
478.0299988,45.20388412,492.980011,54.16398621,508.0499878,83.84632874,378,71.23833466,408,145.2821655,538.0499878,124.8748322,568.0499878,56.08556747,
478.9299927,44.38233566,493.8800049,52.90579224,508.9500122,83.81110382,379.0700073,69.56988525,409.0700073,145.0317078,538.9500122,123.0800171,568.9500122,54.52856064,
480,44.10827255,494.9200134,53.43935776,510,86.52102661,380,67.759758,410,144.0091705,540,117.2671967,570,53.88144302,
481.0599976,41.65604019,495.9700012,53.91231537,511.0599976,90.86071777,381.0700073,64.77529907,411.0599976,142.9270172,541.0200195,114.6420288,571.0200195,52.48553848,
481.9599915,41.89052582,496.8599854,56.49193573,511.9599915,92.51908875,382,62.3595314,411.9599915,143.1908722,542.0499878,111.106781,572.0499878,52.11262894,
483.0299988,41.65848541,497.9100037,55.23401642,513.0300293,95.39307404,383.0700073,60.68471146,413.0299988,142.6349792,542.9400024,110.4674835,572.9400024,51.1567421,
483.9299927,40.01808548,498.9500122,56.64956665,513.9299927,98.43333435,384,57.76122665,413.9299927,141.8763733,543.9699707,105.9675446,573.9699707,49.24448776,
485,40.18374634,499.8500061,56.64064789,515,99.62699127,385.0700073,54.48315048,415,144.3880768,545,102.0837708,575,49.14432144,
486.0599976,39.93265915,500.8900146,58.09515381,516.0599976,101.1183243,386,52.60326385,416.0599976,141.36026,546.0200195,98.90829468,576.0200195,47.44562912,
486.9599915,37.95055389,501.9400024,60.24011993,516.960022,104.0992432,387.0700073,50.44015884,416.9599915,141.5585785,547.0499878,97.41983032,577.0499878,47.62809372,
488.0299988,37.86764145,502.980011,59.00411987,518.0300293,106.6754379,388,48.47904587,418.0299988,142.4681244,547.9400024,93.3057251,577.9400024,46.5192337,
488.9299927,36.81237793,503.8800049,62.89471436,518.9299927,107.7147141,389.0700073,45.56203461,418.9299927,142.3885803,548.9699707,90.04257202,578.9699707,45.4167366,
490,36.99673462,504.9200134,63.82393646,520,110.1165237,390,44.80199432,420,142.9424591,550,87.94046021,580,44.77072525,
491.0400085,36.08795929,505.9700012,63.34553528,521.039978,112.0198593,391.0599976,41.7356987,421.0700073,144.1832581,551.039978,84.44746399,581.0200195,44.66549683,
491.9400024,36.47377396,506.8599854,67.07064819,521.9400024,114.4084015,391.9599915,40.70507431,422,143.0152893,551.9400024,81.96089172,582.0499878,44.15020752,
492.980011,35.54538727,507.9100037,69.04928589,522.9799805,114.6945724,393.0299988,38.52639771,423.0700073,142.8960571,552.9799805,80.56188965,582.9400024,43.38005829,
494.019989,36.39066696,508.9500122,71.5668869,524.0200195,118.7969131,393.9299927,36.70750046,424,143.3522644,554.0200195,78.65362549,583.9699707,42.55564117,
495.0700073,36.11162949,509.8500061,70.48184204,525.0700073,116.1037216,395,34.67944336,425.0700073,143.2568207,555.0700073,77.19544983,585,41.83968353,
495.9700012,37.84700775,510.8999939,73.6230011,525.9699707,117.3430786,396.0599976,31.80324364,426,141.6005096,555.9699707,74.176651,586.0200195,41.46962357,
497.0100098,36.78757477,511.9599915,74.62578583,527.0100098,118.3618698,396.9599915,30.82250023,427.0700073,141.6596222,557.0100098,72.26947021,587.0499878,40.36455917,
498.0499878,37.21261978,512.8699951,77.26395416,528.0499878,119.8138504,398.0299988,28.64448738,428,141.3395844,558.0499878,70.21377563,587.9400024,40.61239624,
498.9500122,39.3005867,513.9299927,80.52054596,528.9500122,119.7542801,398.9299927,27.60287285,429.0700073,139.6156158,558.9500122,68.79119873,588.9699707,39.1496582,
500,40.27970123,514.8400269,80.89015961,530,118.0191574,400,25.16170883,430,139.7597198,560,67.31309509,590,38.90461731,
501.0400085,39.4741478,515.9000244,85.27895355,531.039978,118.1368027,401.0700073,22.73495293,431.0599976,139.4307709,561.039978,66.03340149,591.0200195,38.4450798,
501.9400024,39.0223999,516.960022,87.5235672,531.9400024,117.5380783,402,21.97643089,431.9599915,139.7375488,561.9400024,63.47694778,592.0499878,37.4329071,
502.980011,42.74463272,517.8699951,87.75470734,532.9799805,115.8227463,403.0700073,21.13356972,433.0299988,137.8270111,562.9799805,63.39506912,592.9400024,36.7611618,
504.019989,42.76303482,518.9299927,90.16346741,534.0200195,112.6535339,404,19.30583191,433.9299927,138.7744141,564.0200195,61.33909225,593.9699707,36.93262482,
505.0700073,44.6039505,519.8400269,94.07889557,535.0700073,111.6407623,405.0700073,17.76197815,435,139.1768188,565.0700073,60.18837357,595,36.67777252,
