CdSe 120 sec em420,,CdSe 120 sec em410,,CdSe 120 sec ex345,,CdSe 120 sec em425,,CdSe 120 sec em435,,CdSe 120 sec em445,,CdSe 120 sec em455,,CdSe 120 sec em465,,CdSe 120 sec ex365,,CdSe 120 sec ex335,,CdSe 120 sec em500,,CdSe 120 sec ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
292.9599915,4.262700081,292.9599915,4.481702805,407.8399963,36.95759201,292.9599915,3.347162724,292.9599915,2.9995327,292.9599915,2.920556068,292.9599915,2.566530704,292.9599915,2.129998446,427.8399963,39.97006607,397.8399963,35.28778458,313.0700073,14.01110744,447.8699951,37.05374146,
294.0599976,4.774077415,294.0599976,5.590533257,408.9200134,38.05123901,294.0599976,4.536612034,294.0599976,3.795654774,294.0599976,3.655566216,294.0599976,2.569344997,294.0599976,2.632490396,428.9200134,40.90481186,398.9200134,35.84014893,314,14.37519169,448.9299927,37.76065063,
295,5.462786674,295,6.276044846,409.8399963,37.94943237,295,5.06320715,295,4.0898633,295,3.932400703,295,3.279836178,295,3.009779215,429.8399963,40.77193832,399.8399963,36.74324799,315.0700073,14.84191608,449.8399963,37.28642654,
295.9299927,5.699432373,295.9299927,7.047128677,410.8999939,38.43967819,295.9299927,5.328863621,295.9299927,4.64232111,295.9299927,4.349249363,295.9299927,3.424470901,295.9299927,3.031642675,430.8999939,41.49655914,400.9200134,37.30618286,316,15.15649891,450.8999939,37.28844452,
297.0299988,6.727229118,297.0299988,7.640899658,411.9599915,39.37369537,297.0299988,6.239619732,297.0299988,5.691450596,297.0299988,4.851087093,297.0299988,4.338094711,297.0299988,3.47546792,431.9599915,42.1559906,401.8399963,37.58158112,317.0700073,15.34523487,451.9599915,37.44171906,
297.9599915,7.622253418,297.9599915,8.769492149,412.8699951,37.47983932,297.9599915,7.069567204,297.9599915,6.180914402,297.9599915,5.314486027,297.9599915,4.169077396,297.9599915,3.4980762,432.8699951,41.08088684,402.9200134,37.45341492,318,15.97657108,452.8699951,36.84472275,
299.0599976,8.274008751,299.0599976,9.16542244,413.9299927,38.53458786,299.0599976,7.662931919,299.0599976,6.109310627,299.0599976,5.470250607,299.0599976,5.070030212,299.0599976,4.515810013,433.9299927,42.51565933,403.8399963,37.76438522,319.0700073,16.28252411,453.9299927,37.94113922,
300,9.431949615,300,9.369642258,414.8399963,41.01003647,300,7.935774326,300,6.58193922,300,6.478662014,300,4.912285805,300,4.848999023,434.8399963,41.51508713,404.9200134,38.76504135,320,17.28241348,454.8399963,38.35115814,
301.0700073,9.79148674,301.0700073,10.89365768,415.8999939,40.97139359,301.0700073,9.113107681,301.0700073,7.766622066,301.0700073,6.54981184,301.0700073,5.560718536,301.0700073,4.824903488,435.8999939,42.12356186,405.8399963,38.8215332,320.9299927,17.33392715,455.8999939,37.77357864,
302,10.65993404,302,12.17483044,416.9599915,40.701828,302,9.569057465,302,7.695734501,302,7.198049068,302,5.765714645,302,5.452965736,436.9599915,42.7748909,406.9200134,38.97368622,322.0299988,19.20186996,456.9599915,37.71487808,
303.0700073,11.09084892,303.0700073,11.80668163,417.8699951,40.04235077,303.0700073,10.87506485,303.0700073,8.605619431,303.0700073,7.595984936,303.0700073,6.914527893,303.0700073,5.740796089,437.8699951,43.05708694,407.8399963,38.60988998,322.9599915,19.27700043,457.8699951,37.65731049,
304,11.78845882,304,12.51108265,418.9299927,41.74721146,304,11.55213928,304,9.799039841,304,8.629434586,304,6.99612999,304,6.453487396,438.9299927,41.83992767,408.9200134,40.07483673,324.0599976,19.39372253,458.9299927,37.82738113,
305.0700073,12.76624966,305.0700073,14.18733311,419.8399963,41.25920486,305.0700073,12.11487389,305.0700073,10.88820457,305.0700073,8.851362228,305.0700073,8.202547073,305.0700073,7.075909615,439.8399963,42.3801384,409.8399963,39.84822083,325,20.64399338,459.8399963,38.37738419,
306,13.16275883,306,15.51615238,420.9200134,42.86859894,306,12.72309685,306,10.56986427,306,9.608636856,306,8.663736343,306,7.365473747,440.8999939,42.55785751,410.8999939,38.19037247,325.9299927,20.37887573,460.8999939,36.66240311,
