CdSe sonochem 30min em420,,CdSe sonochem 30min ex345,,CdSe sonochem 30min em510,,CdSe sonochem 30min ex380,,CdSe sonochem 30min ex330,,CdSe sonochem 30min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
327.0299988,214.6351929,441.9599915,237.3070374,347.0700073,146.6811981,476.9599915,157.1500397,427.0700073,222.8374329,456.9599915,211.511734,
327.9599915,220.4073181,442.8699951,232.4115601,348,149.7311249,478.0299988,155.9836731,428,218.3126221,458.0299988,208.1118317,
329.0599976,225.8391418,443.9299927,231.2694092,349.0700073,151.2033844,478.9299927,152.9020691,429.0700073,214.469696,458.9299927,205.3081818,
330,238.2991333,444.8399963,232.989212,350,153.9234161,480,155.116272,430,214.8040161,460,200.5602112,
331.0700073,247.9538879,445.8999939,223.5431976,351.0700073,159.7052917,481.0599976,149.9654999,431.0599976,209.1734009,461.0599976,200.2807007,
332,247.7817383,446.9599915,223.9060211,352,157.9663239,481.9599915,151.9754333,431.9599915,206.1685791,461.9599915,196.438858,
333.0700073,255.0826721,447.8699951,217.2785339,353.0700073,162.6607819,483.0299988,149.1016998,433.0299988,205.2107239,463.0299988,194.5258026,
334,259.2632446,448.9299927,217.4933777,354,164.7658234,483.9299927,149.4859772,433.9299927,198.9738464,463.9299927,190.7173309,
335.0700073,264.3377075,449.8399963,215.1186218,355.0700073,166.7466278,485,150.0554504,435,197.6950989,465,186.3936157,
336,267.6563416,450.8999939,214.7187347,356,167.6706543,486.0599976,148.8544006,436.0599976,194.5606384,466.0599976,183.9398956,
337.0700073,271.3491211,451.9599915,208.5031281,357.0700073,167.7842865,486.9599915,148.1900024,436.9599915,190.5268555,466.9599915,183.5145569,
338,277.3833923,452.8699951,201.5604095,358,170.3203583,488.0299988,148.792572,438.0299988,188.4755859,468.0299988,178.3051453,
339.0700073,271.7885437,453.9299927,204.0951691,359.0700073,173.3418121,488.9299927,151.5925293,438.9299927,184.3705444,468.9299927,175.4025879,
340,281.6206665,454.8399963,202.1107483,360,175.1030884,490,153.3446503,440,181.9492493,470,174.1028442,
341.0700073,283.210022,455.8999939,197.5001221,361.0700073,178.3091125,491.0400085,154.3040771,441.0599976,178.9059753,471.0599976,169.5309448,
342,283.8053894,456.9599915,193.3300171,362,175.6716614,491.9400024,154.6775665,441.9599915,176.6430359,471.9599915,168.8688049,
343.0700073,283.6437988,457.8699951,191.9297028,363.0700073,178.0605164,492.980011,157.2372437,443.0299988,171.1198425,473.0299988,164.5194244,
344,289.0472717,458.9299927,190.1702423,364,176.816452,494.019989,156.1585693,443.9299927,169.7928772,473.9299927,162.0412598,
345.0700073,286.799408,459.8399963,185.625412,365.0700073,178.2807312,495.0700073,158.085083,445,166.3819275,475,161.0174255,
346,286.8453979,460.8999939,180.1770172,366,178.6362305,495.9700012,158.5721893,446.0599976,164.5177307,476.0599976,158.7675018,
347.0700073,283.2375183,461.9599915,176.6985626,367.0700073,178.8991394,497.0100098,163.3395233,446.9599915,161.254425,476.9599915,154.2878265,
348,280.4777527,462.8699951,178.1512451,368,182.2588806,498.0499878,162.5622864,448.0299988,157.9102173,478.0299988,152.3835602,
349.0700073,278.6273193,463.9299927,172.5774841,369.0700073,186.7622528,498.9500122,163.1637115,448.9299927,155.6316528,478.9299927,151.5298157,
350,279.5531616,464.8399963,167.8502502,370,188.7671051,500,167.1042938,450,154.5559998,480,150.7629089,
351.0700073,272.5550842,465.8999939,168.4577484,371.0700073,189.6092834,501.0400085,167.2511597,451.0599976,149.6253052,481.0599976,146.4814758,
352,272.3994446,466.9599915,163.2324219,372,190.3696289,501.9400024,169.5250854,451.9599915,149.0855408,481.9599915,147.9150391,
353.0700073,266.7904358,467.8699951,155.997467,373.0700073,188.7706451,502.980011,173.1588135,453.0299988,146.263092,483.0299988,147.585907,
354,262.3823547,468.9299927,155.6477051,374,191.7737579,504.019989,171.7436371,453.9299927,141.6180115,483.9299927,145.5365906,
355.0700073,260.1651611,469.8399963,151.9802399,375.0700073,189.3569336,505.0700073,173.3028717,455,143.1421814,485,143.371521,
356,253.4741211,470.8999939,150.6898651,376,191.1925659,505.9700012,175.760498,456.0599976,139.3696289,486.0599976,141.2447968,
357.0700073,250.8895569,471.9599915,145.8139954,377.0700073,195.2476196,507.0100098,175.926178,456.9599915,134.6332703,486.9599915,142.8217773,
358,246.4940186,472.8699951,145.5456848,378,190.8641052,508.0499878,176.3869171,458.0299988,133.2701416,488.0299988,142.340271,
359.0700073,239.4867554,473.9299927,140.4531708,379.0700073,191.4801636,508.9500122,176.0131531,458.9299927,132.1455688,488.9299927,142.1257782,
360,237.9111328,474.8399963,139.8446198,380,192.3072205,510,176.7921448,460,129.9602051,490,144.2955933,
361.0700073,232.3018799,475.8999939,135.7752075,381.0700073,192.8182983,511.0599976,178.5418243,461.0599976,127.734642,491.0400085,143.088028,
