CdSe sonochem 180min ex330,,CdSe sonochem 180min ex330,,CdSe sonochem 180min ex345,,CdSe sonochem 180min ex360,,CdSe sonochem 180min em420,,CdSe sonochem 180min em460,,CdSe sonochem 180min ex385,,CdSe sonochem 180min em530,,CdSe sonochem 180min ex460,,CdSe sonochem 180min ex520,,CdSe sonochem 180min em535,,CdSe sonochem 180min ex460,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
418.9299927,4.938691616,418.9299927,5.457359791,433.9299927,8.465484619,448.9299927,11.19253922,319.0700073,2.895213366,319.0700073,2.176037073,473.9299927,13.17810059,349.0700073,16.29929352,548.9699707,45.43100739,608.9699707,-42.37278366,349.0700073,16.36084938,548.9699707,44.5863266,
420,5.351036072,420,5.694476128,434.8399963,8.531621933,450,11.10914326,320,3.13313055,320,2.402055979,474.8399963,12.87437248,350,16.5195961,550,44.80602646,610,-43.25665283,350,16.2495327,550,45.12561035,
421.0700073,5.809626579,421.0700073,5.753623962,435.8999939,8.351099968,451.0599976,11.20326233,320.9299927,3.259984016,320.9299927,2.311241388,475.8999939,12.82279778,351.0700073,17.05608559,551.039978,43.98265457,611.0100098,-43.60122681,351.0700073,16.76224327,551.039978,44.02991104,
422,5.876074791,422,5.561737061,436.9599915,8.54228878,451.9599915,11.50603962,322.0299988,3.371127129,322.0299988,2.475588799,476.9599915,12.42646408,352,17.35518456,551.9400024,43.10112762,612.0200195,-43.17816162,352,17.35446167,551.9400024,42.59666061,
423.0700073,5.782419205,423.0700073,5.819369793,437.8699951,8.630469322,453.0299988,11.58176136,322.9599915,3.551559925,322.9599915,2.984688282,477.8699951,12.16804314,353.0700073,17.64816475,552.9799805,41.96154022,613.039978,-43.70667267,353.0700073,17.43209648,552.9799805,42.80912399,
424,5.736895561,424,5.797951698,438.9299927,8.730894089,453.9299927,11.71270275,324.0599976,3.887761116,324.0599976,3.184715271,478.9299927,12.32592201,354,18.48867798,554.0200195,41.35371017,614.0499878,-43.69050598,354,18.0237999,554.0200195,41.51740646,
425.0700073,6.077663422,425.0700073,5.721883297,439.8399963,8.417004585,455,11.54415321,325,3.98862505,325,3.273884296,479.8399963,11.96084213,355.0700073,18.71985435,555.0700073,40.66820526,615.0700073,-44.39964294,355.0700073,17.63009071,555.0700073,40.22616577,
426,5.733718395,426,5.779537201,440.8999939,8.655609131,456.0599976,11.83485985,325.9299927,4.179503918,325.9299927,3.319043636,480.8999939,11.52441406,356,19.0837326,555.9699707,40.01557159,615.9400024,-44.96459198,356,17.89032555,555.9699707,39.969841,
427.0700073,5.129731178,427.0700073,5.7190938,441.9599915,8.421221733,456.9599915,11.90464783,327.0299988,4.346313953,327.0299988,3.501060963,481.9599915,11.32827568,357.0700073,19.66255379,557.0100098,39.43313217,616.9500122,-44.0382576,357.0700073,18.5756855,557.0100098,39.62426376,
428,4.842103481,428,5.739593029,442.8699951,8.578246117,458.0299988,11.75531101,327.9599915,4.547451019,327.9599915,3.706774235,482.8699951,11.27443504,358,20.08343124,558.0499878,38.68511963,617.9699707,-44.66104889,358,19.04480362,558.0499878,38.39213562,
