CdSe 60 sec ex380,,CdSe 60 sec em520,,CdSe 60 sec ex400,,CdSe 60 sec em445,,CdSe 60 sec ex375,,CdSe 60 sec ex330,,CdSe 60 sec em410,,CdSe 60 sec ex340,,CdSe 60 sec em425,,CdSe 60 sec ex350,,CdSe 60 sec em455,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
436.9599915,23.04071236,317.0700073,7.776664734,456.9599915,21.51197433,287.0299988,-0.6383876801,431.9599915,21.66502762,387.0700073,15.80030346,287.0299988,0.3917548656,397.0700073,17.45569992,287.0299988,-0.2228713036,407.0700073,17.78540039,287.0299988,-0.6822538376,
438.0299988,23.0190773,318,7.242147446,458.0299988,20.88665009,287.9599915,-0.376095295,432.8699951,21.59870338,388,15.71883869,287.9599915,0.9022974968,398,18.64501953,287.9599915,0.03055882454,408,18.58200645,287.9599915,-0.7954392433,
438.9299927,23.26750374,319.0700073,8.082366943,458.9299927,21.14611435,289.0599976,-0.3459415436,433.9299927,21.65492249,389.0700073,17.00312805,289.0599976,1.081049681,399.0700073,18.00408745,289.0599976,0.2789599895,409.0700073,19.60167122,289.0599976,-0.7725288868,
440,22.9621067,320,8.057039261,460,21.17187119,290,-0.2904953957,434.8399963,22.35413551,390,17.41772079,290,0.947896719,400,18.08322525,290,0.4340536594,410,20.29730225,290,-0.2904653549,
441.0599976,24.02082253,320.9299927,8.542738914,461.0599976,20.99474716,290.9299927,-0.01928400993,435.8999939,22.89799309,391.0700073,16.62195969,290.9299927,1.667510986,401.0700073,18.60323334,290.9299927,0.4747838974,411.0599976,19.61495209,290.9299927,-0.4311623573,
441.9599915,24.01925278,322.0299988,8.679836273,461.9599915,20.93382263,292.0299988,0.1380963326,436.9599915,23.53196144,392,17.14681244,292.0299988,1.783757448,402,18.67283058,292.0299988,0.710262537,411.9599915,20.01935387,292.0299988,0.1711263657,
443.0299988,24.50810242,322.9599915,9.582414627,463.0299988,20.72159576,292.9599915,0.3639371395,437.8699951,23.48304367,393.0700073,18.01075745,292.9599915,1.909641027,403.0700073,19.17092323,292.9599915,0.9314408302,413.0299988,19.59474754,292.9599915,0.05380940437,
443.9299927,24.3422966,324.0599976,10.09329891,463.9299927,21.31027985,294.0599976,0.5476887226,438.9299927,24.22698593,394,18.36740112,294.0599976,2.843681812,404,19.72372437,294.0599976,1.302051544,413.9299927,20.24983597,294.0599976,0.4327099323,
445,24.22193718,325,10.31672096,465,20.28757477,295,0.810505867,439.8399963,23.80990982,395.0700073,17.85945892,295,3.12223959,405.0700073,19.91867447,295,1.924042702,415,19.99186516,295,0.9339497089,
446.0599976,25.08949661,325.9299927,10.55395031,466.0599976,20.72365189,295.9299927,1.058263063,440.8999939,24.70874977,396,18.8225174,295.9299927,3.29000473,406,19.20812225,295.9299927,1.975013733,416.0599976,20.8685627,295.9299927,0.8127183914,
446.9599915,25.42422485,327.0299988,9.691342354,466.9599915,19.79159164,297.0299988,1.135809183,441.9599915,24.92207146,397.0700073,18.35725021,297.0299988,3.472048759,407.0700073,21.26295853,297.0299988,2.002439499,416.9599915,22.09507561,297.0299988,1.142887115,
